draft_year,draft_round,draft_pick_overall,player_name,draft_team,college,former_country,school_or_origin,origin_type,retained_after_preseason_flag,draft_date,source_url,draft_source_page,school,school_source,current_team_from_feed,draft_pick_in_round,current_feed_signed_flag,current_feed_waived_or_released_flag,traded_after_draft_in_feed_flag,preseason_retention_status,source,raw_text,transaction_id
2026,1,1,Azzi Fudd,Dallas Wings,UConn,,UConn,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,UConn,needs_school_join,Dallas Wings,1,TRUE,FALSE,FALSE,signed_in_feed_not_final_preseason,Basketball-Reference,The Dallas Wings drafted Azzi Fudd in the 1st round (1st pick) of the 2026 WNBA Draft.,7dfa83510df3267f8d
2026,1,2,Olivia Miles,Minnesota Lynx,TCU,,TCU,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,TCU,needs_school_join,Minnesota Lynx,2,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Minnesota Lynx drafted Olivia Miles in the 1st round (2nd pick) of the 2026 WNBA Draft.,8edcba21d01ae97fb2
2026,1,3,Awa Fam,Seattle Storm,,Spain,Spain,international_former,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,,needs_school_join,Seattle Storm,3,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Seattle Storm drafted Awa Fam in the 1st round (3rd pick) of the 2026 WNBA Draft.,20e73ace8b13606e9b
2026,1,4,Lauren Betts,Washington Mystics,UCLA,,UCLA,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,UCLA,manual_seed_ucla_only,Washington Mystics,4,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Washington Mystics drafted Lauren Betts in the 1st round (4th pick) of the 2026 WNBA Draft.,4ee9b18f0a59ceaf1f
2026,1,5,Gabriela Jaquez,Chicago Sky,UCLA,,UCLA,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,UCLA,manual_seed_ucla_only,Chicago Sky,5,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Chicago Sky drafted Gabriela Jaquez in the 1st round (5th pick) of the 2026 WNBA Draft.,d8d2a77f498ebf5c9f
2026,1,6,Kiki Rice,Toronto Tempo,UCLA,,UCLA,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,UCLA,manual_seed_ucla_only,Toronto Tempo,6,TRUE,FALSE,FALSE,signed_in_feed_not_final_preseason,Basketball-Reference,The Toronto Tempo drafted Kiki Rice in the 1st round (6th pick) of the 2026 WNBA Draft.,a2b2ceb3bfc9f5876e
2026,1,7,Iyana Martín,Portland Fire,,Spain,Spain,international_former,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,,needs_school_join,Portland Fire,7,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Portland Fire drafted Iyana Martín in the 1st round (7th pick) of the 2026 WNBA Draft.,c99e3eb21c0bc84920
2026,1,8,Flau'jae Johnson,Golden State Valkyries,LSU,,LSU,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,LSU,needs_school_join,Seattle Storm,8,FALSE,FALSE,TRUE,traded_in_feed_no_signing_found,Basketball-Reference,The Golden State Valkyries drafted Flau'jae Johnson in the 1st round (8th pick) of the 2026 WNBA Draft.,fdd977939203000e8f
2026,1,9,Angela Dugalić,Washington Mystics,UCLA,,UCLA,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,UCLA,manual_seed_ucla_only,Washington Mystics,9,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Washington Mystics drafted Angela Dugalić in the 1st round (9th pick) of the 2026 WNBA Draft.,ff0793991c0fa88d3c
2026,1,10,Raven Johnson,Indiana Fever,South Carolina,,South Carolina,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,South Carolina,needs_school_join,Indiana Fever,10,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Indiana Fever drafted Raven Johnson in the 1st round (10th pick) of the 2026 WNBA Draft.,bc9fef488ef4bbcf01
2026,1,11,Cotie McMahon,Washington Mystics,Ole Miss,,Ole Miss,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Ole Miss,needs_school_join,Washington Mystics,11,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Washington Mystics drafted Cotie McMahon in the 1st round (11th pick) of the 2026 WNBA Draft.,38b157c3c075994b00
2026,1,12,Nell Angloma,Connecticut Sun,,France,France,international_former,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,,needs_school_join,Connecticut Sun,12,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Connecticut Sun drafted Nell Angloma in the 1st round (12th pick) of the 2026 WNBA Draft.,c2fe5d0ad275d1abcc
2026,1,13,Madina Okot,Atlanta Dream,South Carolina,,South Carolina,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,South Carolina,needs_school_join,Atlanta Dream,13,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Atlanta Dream drafted Madina Okot in the 1st round (13th pick) of the 2026 WNBA Draft.,5a5b1f2fecd53f05ca
2026,1,14,Taina Mair,Seattle Storm,Duke,,Duke,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Duke,needs_school_join,Seattle Storm,14,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Seattle Storm drafted Taina Mair in the 1st round (14th pick) of the 2026 WNBA Draft.,a8925b5947fb780a2a
2026,1,15,Gianna Kneepkens,Connecticut Sun,UCLA,,UCLA,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,UCLA,needs_school_join,Connecticut Sun,15,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Connecticut Sun drafted Gianna Kneepkens in the 1st round (15th pick) of the 2026 WNBA Draft.,9ab0aebdc369fa7af5
2026,2,16,Marta Suárez,Seattle Storm,TCU,,TCU,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,TCU,needs_school_join,Golden State Valkyries,1,FALSE,FALSE,TRUE,traded_in_feed_no_signing_found,Basketball-Reference,The Seattle Storm drafted Marta Suárez in the 2nd round (16th pick) of the 2026 WNBA Draft.,51b55c56e5e90eb510
2026,2,17,Frieda Bühner,Portland Fire,,Germany,Germany,international_former,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,,needs_school_join,Portland Fire,2,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Portland Fire drafted Frieda Bühner in the 2nd round (17th pick) of the 2026 WNBA Draft.,f13147fb621c46d013
2026,2,18,Charlisse Leger-Walker,Connecticut Sun,UCLA,,UCLA,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,UCLA,manual_seed_ucla_only,Connecticut Sun,3,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Connecticut Sun drafted Charlisse Leger-Walker in the 2nd round (18th pick) of the 2026 WNBA Draft.,f2d94058f6fd9bccf2
2026,2,19,Cassandre Prosper,Washington Mystics,Notre Dame,,Notre Dame,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Notre Dame,needs_school_join,Washington Mystics,4,TRUE,FALSE,FALSE,signed_in_feed_not_final_preseason,Basketball-Reference,The Washington Mystics drafted Cassandre Prosper in the 2nd round (19th pick) of the 2026 WNBA Draft.,b4345400b8f66f968f
2026,2,20,Ta'Niya Latson,Los Angeles Sparks,South Carolina,,South Carolina,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,South Carolina,needs_school_join,Los Angeles Sparks,5,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Los Angeles Sparks drafted Ta'Niya Latson in the 2nd round (20th pick) of the 2026 WNBA Draft.,6014b213da065e0973
2026,2,21,Latasha Lattimore,Chicago Sky,Ole Miss,,Ole Miss,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Ole Miss,needs_school_join,Chicago Sky,6,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Chicago Sky drafted Latasha Lattimore in the 2nd round (21st pick) of the 2026 WNBA Draft.,a638ab38606d1cab02
2026,2,22,Teonni Key,Toronto Tempo,Kentucky,,Kentucky,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Kentucky,manual_seed_ucla_only,Toronto Tempo,7,TRUE,FALSE,FALSE,signed_in_feed_not_final_preseason,Basketball-Reference,The Toronto Tempo drafted Teonni Key in the 2nd round (22nd pick) of the 2026 WNBA Draft.,11c8585aec481eb121
2026,2,23,Ashlon Jackson,Golden State Valkyries,Duke,,Duke,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Duke,needs_school_join,Golden State Valkyries,8,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Golden State Valkyries drafted Ashlon Jackson in the 2nd round (23rd pick) of the 2026 WNBA Draft.,316ee64c4b33908e70
2026,2,24,Chance Gray,Los Angeles Sparks,Ohio State,,Ohio State,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Ohio State,needs_school_join,Los Angeles Sparks,9,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Los Angeles Sparks drafted Chance Gray in the 2nd round (24th pick) of the 2026 WNBA Draft.,7d972eeb68b95c3422
2026,2,25,Justine Pissott,Indiana Fever,Vanderbilt,,Vanderbilt,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Vanderbilt,needs_school_join,Indiana Fever,10,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Indiana Fever drafted Justine Pissott in the 2nd round (25th pick) of the 2026 WNBA Draft.,5637b63c669dae30d4
2026,2,26,Saffron Shiels,Toronto Tempo,,Australia,Australia,international_former,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,,needs_school_join,Toronto Tempo,11,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Toronto Tempo drafted Saffron Shiels in the 2nd round (26th pick) of the 2026 WNBA Draft.,b83a4d402212b47bc7
