transaction_id,transaction_date,transaction_type,asset_side,asset_type,player_name,player_url,team_from,team_to,pick_year,pick_round,pick_description,raw_asset_text
c24d7558629a0fbd49,2026-04-03,expansion_draft,selected,player,Bridget Carleton,,Minnesota Lynx,Portland Fire,,,,The Portland Fire drafted Bridget Carleton from the Minnesota Lynx in the WNBA expansion draft.
1fce1bdcf63502abcd,2026-04-03,expansion_draft,selected,player,Julie Allemand,,Los Angeles Sparks,Toronto Tempo,,,,The Toronto Tempo drafted Julie Allemand from the Los Angeles Sparks in the WNBA expansion draft.
b83dd75d3b506553ff,2026-04-03,expansion_draft,selected,player,Carla Leite,,Golden State Valkyries,Portland Fire,,,,The Portland Fire drafted Carla Leite from the Golden State Valkyries in the WNBA expansion draft.
525f8790e290109276,2026-04-03,expansion_draft,selected,player,Nyara Sabally,,New York Liberty,Toronto Tempo,,,,The Toronto Tempo drafted Nyara Sabally from the New York Liberty in the WNBA expansion draft.
a0708827d74d48d310,2026-04-03,expansion_draft,selected,player,Luisa Geiselsoder,,Dallas Wings,Portland Fire,,,,The Portland Fire drafted Luisa Geiselsoder from the Dallas Wings in the WNBA expansion draft.
24a2aa5221c49875ed,2026-04-03,expansion_draft,selected,player,Marina Mabrey,,Connecticut Sun,Toronto Tempo,,,,The Toronto Tempo drafted Marina Mabrey from the Connecticut Sun in the WNBA expansion draft.
590c7c1053f3de3a1c,2026-04-03,expansion_draft,selected,player,Emily Engstler,,Washington Mystics,Portland Fire,,,,The Portland Fire drafted Emily Engstler from the Washington Mystics in the WNBA expansion draft.
615a2d8e1692e0e3a4,2026-04-03,expansion_draft,selected,player,Aaliyah Nye,,Las Vegas Aces,Toronto Tempo,,,,The Toronto Tempo drafted Aaliyah Nye from the Las Vegas Aces in the WNBA expansion draft.
bf0fe7863ed507a8b8,2026-04-03,expansion_draft,selected,player,Maya Caldwell,,Atlanta Dream,Portland Fire,,,,The Portland Fire drafted Maya Caldwell from the Atlanta Dream in the WNBA expansion draft.
2320d3ad6c33717f0f,2026-04-03,expansion_draft,selected,player,Lexi Held,,Phoenix Mercury,Toronto Tempo,,,,The Toronto Tempo drafted Lexi Held from the Phoenix Mercury in the WNBA expansion draft.
5681de9036d9db9a6a,2026-04-03,expansion_draft,selected,player,Chloe Bibby,,Indiana Fever,Portland Fire,,,,The Portland Fire drafted Chloe Bibby from the Indiana Fever in the WNBA expansion draft.
ecd8d742977ecdb548,2026-04-03,expansion_draft,selected,player,Maria Conde,,Golden State Valkyries,Toronto Tempo,,,,The Toronto Tempo drafted Maria Conde from the Golden State Valkyries in the WNBA expansion draft.
0c67c0ccb828d743ea,2026-04-03,expansion_draft,selected,player,Haley Jones,,Dallas Wings,Portland Fire,,,,The Portland Fire drafted Haley Jones from the Dallas Wings in the WNBA expansion draft.
5ed997fb7b67a0941e,2026-04-03,expansion_draft,selected,player,Maria Kliundikova,,Minnesota Lynx,Toronto Tempo,,,,The Toronto Tempo drafted Maria Kliundikova from the Minnesota Lynx in the WNBA expansion draft.
