transaction_id,season,transaction_date,source,source_url,raw_text,transaction_type,team_primary,team_secondary,from_team,to_team,player_primary,player_secondary,player_primary_url,player_secondary_url,contract_detail,draft_year,draft_round,draft_pick_overall,draft_pick_in_round,pick_asset_1,pick_asset_2,pick_swap_flag,school,player_status_after_preseason,retention_flag,is_expansion_team,is_expansion_draft_pick,is_training_camp_contract,is_rookie_draft_pick,last_updated_date,parse_status,parse_notes,college,former_country,school_or_origin,origin_type,draft_source_page
05b0de447614cb5143,2026,2026-04-03,Basketball-Reference,https://www.basketball-reference.com/wnba/years/2026_transactions.html,The Toronto Tempo drafted Nikolina Milic from the Connecticut Sun in the WNBA expansion draft.,expansion_draft,Toronto Tempo,Connecticut Sun,Connecticut Sun,Toronto Tempo,Nikolina Milic,,,,,,,,,,,False,,,,True,True,False,False,2026-05-03,parsed,,,,,,
0c67c0ccb828d743ea,2026,2026-04-03,Basketball-Reference,https://www.basketball-reference.com/wnba/years/2026_transactions.html,The Portland Fire drafted Haley Jones from the Dallas Wings in the WNBA expansion draft.,expansion_draft,Portland Fire,Dallas Wings,Dallas Wings,Portland Fire,Haley Jones,,,,,,,,,,,False,,,,True,True,False,False,2026-05-03,parsed,,,,,,
12737eaa63b29db106,2026,2026-04-03,Basketball-Reference,https://www.basketball-reference.com/wnba/years/2026_transactions.html,The Portland Fire drafted Sug Sutton from the Washington Mystics in the WNBA expansion draft.,expansion_draft,Portland Fire,Washington Mystics,Washington Mystics,Portland Fire,Sug Sutton,,,,,,,,,,,False,,,,True,True,False,False,2026-05-03,parsed,,,,,,
1326dd9fc7ec4cb6d3,2026,2026-04-03,Basketball-Reference,https://www.basketball-reference.com/wnba/years/2026_transactions.html,The Toronto Tempo drafted Adja Kane from the New York Liberty in the WNBA expansion draft.,expansion_draft,Toronto Tempo,New York Liberty,New York Liberty,Toronto Tempo,Adja Kane,,,,,,,,,,,False,,,,True,True,False,False,2026-05-03,parsed,,,,,,
1fce1bdcf63502abcd,2026,2026-04-03,Basketball-Reference,https://www.basketball-reference.com/wnba/years/2026_transactions.html,The Toronto Tempo drafted Julie Allemand from the Los Angeles Sparks in the WNBA expansion draft.,expansion_draft,Toronto Tempo,Los Angeles Sparks,Los Angeles Sparks,Toronto Tempo,Julie Allemand,,,,,,,,,,,False,,,,True,True,False,False,2026-05-03,parsed,,,,,,
2320d3ad6c33717f0f,2026,2026-04-03,Basketball-Reference,https://www.basketball-reference.com/wnba/years/2026_transactions.html,The Toronto Tempo drafted Lexi Held from the Phoenix Mercury in the WNBA expansion draft.,expansion_draft,Toronto Tempo,Phoenix Mercury,Phoenix Mercury,Toronto Tempo,Lexi Held,,,,,,,,,,,False,,,,True,True,False,False,2026-05-03,parsed,,,,,,
24a2aa5221c49875ed,2026,2026-04-03,Basketball-Reference,https://www.basketball-reference.com/wnba/years/2026_transactions.html,The Toronto Tempo drafted Marina Mabrey from the Connecticut Sun in the WNBA expansion draft.,expansion_draft,Toronto Tempo,Connecticut Sun,Connecticut Sun,Toronto Tempo,Marina Mabrey,,,,,,,,,,,False,,,,True,True,False,False,2026-05-03,parsed,,,,,,
3a6121cf9cb4ce2581,2026,2026-04-03,Basketball-Reference,https://www.basketball-reference.com/wnba/years/2026_transactions.html,The Portland Fire drafted Nika Mühl from the Seattle Storm in the WNBA expansion draft.,expansion_draft,Portland Fire,Seattle Storm,Seattle Storm,Portland Fire,Nika Mühl,,,,,,,,,,,False,,,,True,True,False,False,2026-05-03,parsed,,,,,,
4e3f9300628789255c,2026,2026-04-03,Basketball-Reference,https://www.basketball-reference.com/wnba/years/2026_transactions.html,The Toronto Tempo drafted Kristy Wallace from the Indiana Fever in the WNBA expansion draft.,expansion_draft,Toronto Tempo,Indiana Fever,Indiana Fever,Toronto Tempo,Kristy Wallace,,,,,,,,,,,False,,,,True,True,False,False,2026-05-03,parsed,,,,,,
525f8790e290109276,2026,2026-04-03,Basketball-Reference,https://www.basketball-reference.com/wnba/years/2026_transactions.html,The Toronto Tempo drafted Nyara Sabally from the New York Liberty in the WNBA expansion draft.,expansion_draft,Toronto Tempo,New York Liberty,New York Liberty,Toronto Tempo,Nyara Sabally,,,,,,,,,,,False,,,,True,True,False,False,2026-05-03,parsed,,,,,,
