season,team_id,team_name,player_id,player_name,roster_status,roster_slot_type,position_group,archetype,age_2026,years_service,salary,cap_hit,salary_tier,mpg,projected_role,actual_role,team_abbreviation,team_total_salary,team_salary_cap,player_id_source,team_id_source,source_quality,contract_icon_source,row_section
2026,1611661330,Atlanta Dream,1628277,Allisha Gray,active,rookie,,Rotation Forward,,3.0,1190000.0,1190000.0,Max / Protected Veteran Top Tier,33.833333,Starter,Starter,ATL,5955692.0,7000000.0,team_roster_history,pbpstats_catalog,prior_csv_inferred,solved_from_guaranteed_and_protected_veteran_totals,current_roster
2026,1611661330,Atlanta Dream,1642291,Angel Reese,active,veteran,,Rotation Forward,,,350692.0,350692.0,Low Rotation / Rookie Scale,31.633333,Starter,Starter,ATL,5955692.0,7000000.0,team_roster_history,pbpstats_catalog,prior_csv_inferred,solved_remainder_after_guaranteed_total,current_roster
2026,1611661330,Atlanta Dream,player:bella_fontleroy__atlanta_dream,Bella Fontleroy,active,veteran,,,,,270000.0,270000.0,Minimum / Training Camp / Draftee Band,,,,ATL,5955692.0,7000000.0,synthetic_name,pbpstats_catalog,prior_csv_inferred,not_available_from_prior_csv,current_roster
2026,1611661330,Atlanta Dream,1628280,Brionna Jones,active,veteran,,Rotation Forward,,2.0,1000000.0,1000000.0,Premium Starter,26.340909,Rotation,Rotation,ATL,5955692.0,7000000.0,team_roster_history,pbpstats_catalog,prior_csv_inferred,solved_from_guaranteed_and_protected_veteran_totals,current_roster
2026,1611661330,Atlanta Dream,player:holly_winterburn__atlanta_dream,Holly Winterburn,active,veteran,,,,,270000.0,270000.0,Minimum / Training Camp / Draftee Band,,,,ATL,5955692.0,7000000.0,synthetic_name,pbpstats_catalog,prior_csv_inferred,not_available_from_prior_csv,current_roster
2026,1611661330,Atlanta Dream,player:indya_nivar__atlanta_dream,Indya Nivar,active,veteran,,,,,270000.0,270000.0,Minimum / Training Camp / Draftee Band,,,,ATL,5955692.0,7000000.0,synthetic_name,pbpstats_catalog,prior_csv_inferred,solved_remainder_after_guaranteed_total,current_roster
2026,1611661330,Atlanta Dream,player:isobel_borlase__atlanta_dream,Isobel Borlase,active,veteran,,,,,270000.0,270000.0,Minimum / Training Camp / Draftee Band,,,,ATL,5955692.0,7000000.0,synthetic_name,pbpstats_catalog,prior_csv_inferred,not_available_from_prior_csv,current_roster
2026,1611661330,Atlanta Dream,1628886,Jordin Canada,active,veteran,,Rotation Forward,,2.0,650000.0,650000.0,High/Mid Starter,27.25,Rotation,Rotation,ATL,5955692.0,7000000.0,team_roster_history,pbpstats_catalog,prior_csv_inferred,solved_from_guaranteed_and_protected_veteran_totals,current_roster
2026,1611661330,Atlanta Dream,player:laila_phelia__atlanta_dream,Laila Phelia,active,veteran,,,,,270000.0,270000.0,Minimum / Training Camp / Draftee Band,,,,ATL,5955692.0,7000000.0,synthetic_name,pbpstats_catalog,prior_csv_inferred,not_available_from_prior_csv,current_roster
2026,1611661330,Atlanta Dream,1631032,Lorela Cubaj,active,veteran,,Rotation Forward,,,,,,8.0,Bench,Bench,ATL,5955692.0,7000000.0,team_roster_history,pbpstats_catalog,prior_csv_inferred,not_available_from_prior_csv,current_roster
