player_id,player_name,team_id,team_name,season,player_archetype,player_role_band,comparable_player_id,comparable_player_name,comparable_team_id,comparable_team_name,comparable_archetype,comparable_role_band,comp_rank,similarity_score,same_team_flag,same_archetype_family_flag,same_salary_tier_flag,salary_gap,salary_gap_pct,usage_gap,ts_gap,ast_gap,reb_gap,playoff_gap,onoff_gap,playoff_performance_gap,comp_basis
1628277,Allisha Gray,1611661330,Atlanta Dream,2026,3&D Wing,Starter,1628922,Azurá Stevens,1611661329,Chicago Sky,3&D Wing,Starter,1,97.84,False,true,False,190000.0,0.19,3.14872200812227,-0.0005258249498978351,,,,0.0,0.0,Wing similarity
1628277,Allisha Gray,1611661330,Atlanta Dream,2026,3&D Wing,Starter,204324,Dearica Hamby,1611661320,Los Angeles Sparks,3&D Wing,Starter,2,97.78,False,true,False,90000.0,0.08181818181818182,-2.957355946966306,-0.016598299995771226,,,,0.0,0.0,Wing similarity
1628277,Allisha Gray,1611661330,Atlanta Dream,2026,3&D Wing,Starter,1641648,Aliyah Boston,1611661325,Indiana Fever,3&D Wing,Starter,3,97.43,False,true,False,190000.0,0.19,0.41036937906320503,0.017082126236421802,,,-13.580000000000005,0.0,0.0,Wing similarity
1628277,Allisha Gray,1611661330,Atlanta Dream,2026,3&D Wing,Starter,1628280,Brionna Jones,1611661330,Atlanta Dream,3&D Wing,Rotation,4,97.34,True,true,False,190000.0,0.19,1.3435602438184269,0.011164644646968869,,,-11.420000000000002,0.0,0.0,Wing similarity
1628277,Allisha Gray,1611661330,Atlanta Dream,2026,3&D Wing,Starter,203014,Nneka Ogwumike,1611661320,Los Angeles Sparks,3&D Wing,Starter,5,96.9,False,true,False,240000.0,0.25263157894736843,-2.826182747304294,-0.006933449163268879,,,9.419999999999998,0.0,0.0,Wing similarity
1642291,Angel Reese,1611661330,Atlanta Dream,2026,Stretch Big,Starter,1642288,Rickea Jackson,1611661329,Chicago Sky,Versatile Wing,Starter,1,98.79,False,false,False,-79962.0,-0.18567573968893822,0.9838353136225457,0.013245966983792767,,,,0.0,0.0,Center similarity
1642291,Angel Reese,1611661330,Atlanta Dream,2026,Stretch Big,Starter,1642792,Kiki Iriafen,1611661322,Washington Mystics,Stretch Big,Rotation,2,98.26,False,true,False,-56471.0,-0.13869384005914093,-0.16804618487862655,-0.00700025926886183,,,,-27.15,0.0,Center similarity
1642291,Angel Reese,1611661330,Atlanta Dream,2026,Stretch Big,Starter,1642808,JJ Quinerly,1611661321,Dallas Wings,3-Level Guard,Bench,3,98.17,False,false,False,73192.0,0.26375495495495493,3.0786319789535206,0.007891338657994185,,,,0.0,0.0,Center similarity
1642291,Angel Reese,1611661330,Atlanta Dream,2026,Stretch Big,Starter,1642287,Cameron Brink,1611661320,Los Angeles Sparks,Rim Protector,Bench,4,97.57,False,true,False,-143159.0,-0.2898829808990971,3.214274180526399,0.014399393709738528,,,,0.0,0.0,Center similarity
1642291,Angel Reese,1611661330,Atlanta Dream,2026,Stretch Big,Starter,player:kiki_rice__toronto_tempo,Kiki Rice,team:toronto_tempo,Toronto Tempo,Rotation Forward,nan,5,97.3,False,false,True,-4366.0,-0.012296582530178167,,,,,,,0.0,Center similarity
player:bella_fontleroy__atlanta_dream,Bella Fontleroy,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:holly_winterburn__atlanta_dream,Holly Winterburn,1611661330,Atlanta Dream,Rotation Forward,nan,1,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:bella_fontleroy__atlanta_dream,Bella Fontleroy,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:indya_nivar__atlanta_dream,Indya Nivar,1611661330,Atlanta Dream,Rotation Forward,nan,2,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:bella_fontleroy__atlanta_dream,Bella Fontleroy,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:isobel_borlase__atlanta_dream,Isobel Borlase,1611661330,Atlanta Dream,Rotation Forward,nan,3,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:bella_fontleroy__atlanta_dream,Bella Fontleroy,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:laila_phelia__atlanta_dream,Laila Phelia,1611661330,Atlanta Dream,Rotation Forward,nan,4,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:bella_fontleroy__atlanta_dream,Bella Fontleroy,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:sacha_washington__atlanta_dream,Sacha Washington,1611661330,Atlanta Dream,Rotation Forward,nan,5,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
1628280,Brionna Jones,1611661330,Atlanta Dream,2026,3&D Wing,Rotation,1641648,Aliyah Boston,1611661325,Indiana Fever,3&D Wing,Starter,1,99.32,False,true,True,0.0,0.0,-0.9331908647552218,0.005917481589452933,,,-2.1600000000000037,0.0,0.0,Wing similarity
1628280,Brionna Jones,1611661330,Atlanta Dream,2026,3&D Wing,Rotation,1628922,Azurá Stevens,1611661329,Chicago Sky,3&D Wing,Starter,2,97.88,False,true,True,0.0,0.0,1.8051617643038433,-0.011690469596866704,,,,0.0,0.0,Wing similarity
1628280,Brionna Jones,1611661330,Atlanta Dream,2026,3&D Wing,Rotation,1628277,Allisha Gray,1611661330,Atlanta Dream,3&D Wing,Starter,3,97.34,True,true,False,-190000.0,-0.15966386554621848,-1.3435602438184269,-0.011164644646968869,,,11.420000000000002,0.0,0.0,Wing similarity
1628280,Brionna Jones,1611661330,Atlanta Dream,2026,3&D Wing,Rotation,203827,Natasha Howard,1611661324,Minnesota Lynx,3&D Wing,Rotation,4,97.29,False,true,False,300000.0,0.42857142857142855,-0.35983504688001133,-0.005771709832415373,,,-15.14,0.0,0.0,Wing similarity
1628280,Brionna Jones,1611661330,Atlanta Dream,2026,3&D Wing,Rotation,1631007,Veronica Burton,1611661331,Golden State Valkyries,Primary Creator,Starter,5,96.97,False,false,True,75000.0,0.08108108108108109,1.027976087810547,0.02924707728729703,,,-16.32,0.0,0.0,Wing similarity
player:holly_winterburn__atlanta_dream,Holly Winterburn,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:bella_fontleroy__atlanta_dream,Bella Fontleroy,1611661330,Atlanta Dream,Rotation Forward,nan,1,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:holly_winterburn__atlanta_dream,Holly Winterburn,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:indya_nivar__atlanta_dream,Indya Nivar,1611661330,Atlanta Dream,Rotation Forward,nan,2,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:holly_winterburn__atlanta_dream,Holly Winterburn,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:isobel_borlase__atlanta_dream,Isobel Borlase,1611661330,Atlanta Dream,Rotation Forward,nan,3,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:holly_winterburn__atlanta_dream,Holly Winterburn,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:laila_phelia__atlanta_dream,Laila Phelia,1611661330,Atlanta Dream,Rotation Forward,nan,4,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:holly_winterburn__atlanta_dream,Holly Winterburn,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:sacha_washington__atlanta_dream,Sacha Washington,1611661330,Atlanta Dream,Rotation Forward,nan,5,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:indya_nivar__atlanta_dream,Indya Nivar,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:bella_fontleroy__atlanta_dream,Bella Fontleroy,1611661330,Atlanta Dream,Rotation Forward,nan,1,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:indya_nivar__atlanta_dream,Indya Nivar,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:holly_winterburn__atlanta_dream,Holly Winterburn,1611661330,Atlanta Dream,Rotation Forward,nan,2,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:indya_nivar__atlanta_dream,Indya Nivar,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:isobel_borlase__atlanta_dream,Isobel Borlase,1611661330,Atlanta Dream,Rotation Forward,nan,3,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:indya_nivar__atlanta_dream,Indya Nivar,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:laila_phelia__atlanta_dream,Laila Phelia,1611661330,Atlanta Dream,Rotation Forward,nan,4,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:indya_nivar__atlanta_dream,Indya Nivar,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:sacha_washington__atlanta_dream,Sacha Washington,1611661330,Atlanta Dream,Rotation Forward,nan,5,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:isobel_borlase__atlanta_dream,Isobel Borlase,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:bella_fontleroy__atlanta_dream,Bella Fontleroy,1611661330,Atlanta Dream,Rotation Forward,nan,1,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
player:isobel_borlase__atlanta_dream,Isobel Borlase,1611661330,Atlanta Dream,2026,Rotation Forward,nan,player:holly_winterburn__atlanta_dream,Holly Winterburn,1611661330,Atlanta Dream,Rotation Forward,nan,2,100.0,True,true,True,0.0,0.0,,,,,,,0.0,Forward similarity
