season,season_type,team_id,team_abbreviation,team_name,player_count
2023,Regular Season,1611661330,ATL,Atlanta Dream,14
2023,Regular Season,1611661329,CHI,Chicago Sky,15
2023,Regular Season,1611661323,CON,Connecticut Sun,14
2023,Regular Season,1611661321,DAL,Dallas Wings,14
2023,Regular Season,1611661325,IND,Indiana Fever,13
2023,Regular Season,1611661320,LAS,Los Angeles Sparks,15
2023,Regular Season,1611661319,LVA,Las Vegas Aces,13
2023,Regular Season,1611661324,MIN,Minnesota Lynx,14
2023,Regular Season,1611661313,NYL,New York Liberty,12
2023,Regular Season,1611661317,PHX,Phoenix Mercury,19
2023,Regular Season,1611661328,SEA,Seattle Storm,14
2023,Regular Season,1611661322,WAS,Washington Mystics,16
2024,Regular Season,1611661330,ATL,Atlanta Dream,15
2024,Regular Season,1611661329,CHI,Chicago Sky,15
2024,Regular Season,1611661323,CON,Connecticut Sun,15
2024,Regular Season,1611661321,DAL,Dallas Wings,14
2024,Regular Season,1611661325,IND,Indiana Fever,13
2024,Regular Season,1611661320,LAS,Los Angeles Sparks,15
2024,Regular Season,1611661319,LVA,Las Vegas Aces,15
2024,Regular Season,1611661324,MIN,Minnesota Lynx,14
2024,Regular Season,1611661313,NYL,New York Liberty,12
2024,Regular Season,1611661317,PHX,Phoenix Mercury,15
2024,Regular Season,1611661328,SEA,Seattle Storm,13
2024,Regular Season,1611661322,WAS,Washington Mystics,15
2025,Regular Season,1611661330,ATL,Atlanta Dream,13
2025,Regular Season,1611661329,CHI,Chicago Sky,14
2025,Regular Season,1611661323,CON,Connecticut Sun,16
2025,Regular Season,1611661321,DAL,Dallas Wings,21
2025,Regular Season,1611661331,GSV,Golden State Valkyries,20
2025,Regular Season,1611661325,IND,Indiana Fever,18
2025,Regular Season,1611661320,LAS,Los Angeles Sparks,17
2025,Regular Season,1611661319,LVA,Las Vegas Aces,15
2025,Regular Season,1611661324,MIN,Minnesota Lynx,17
2025,Regular Season,1611661313,NYL,New York Liberty,14
2025,Regular Season,1611661317,PHX,Phoenix Mercury,17
2025,Regular Season,1611661328,SEA,Seattle Storm,14
2025,Regular Season,1611661322,WAS,Washington Mystics,15
