league,season,season_type,team_id,team_abbreviation,team_name,player_id,player_name,player_order,request_url,request_status,request_params,raw_path
wnba,2023,Regular Season,1611661330,ATL,Atlanta Dream,1641659,Taylor Mikesell,11,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661330,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661330'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661330.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,1629501,Alanna Smith,1,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,1627675,Courtney Williams,9,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,1630389,Dana Evans,5,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,204322,Elizabeth Williams,2,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,204330,Isabelle Harrison,12,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,1627674,Kahleah Copper,0,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,1628949,Khaalia Hillsman,8,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,1629485,Kristine Anigwe,3,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,1629497,Marina Mabrey,14,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
