season,player_name,player_team,player_age,player_height_raw,Weight,player_college,player_country,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
2025,Damiris Dantas,IND,33,6-4,214,None,Brazil,38,4.6,2.4,0.7,-5,5.90%,15.60%,20.90%,45.30%,9.70%
2025,Dana Evans,LVA,27,5-6,145,Louisville,USA,44,6.6,1.1,2.2,-2.9,1.00%,5.10%,19.10%,48.80%,22.70%
2025,DeWanna Bonner,PHX,38,6-4,140,Auburn,USA,33,9.8,4.2,1.2,-0.7,3.70%,13.60%,18.10%,55.10%,8.60%
2025,Dearica Hamby,LAS,32,6-3,189,Wake Forest,USA,44,18.4,7.9,3.3,0.4,8.70%,17.40%,24.60%,60.50%,18.80%
2025,DiJonai Carrington,MIN,28,5-11,175,Baylor,USA,31,9.8,4,1.5,-7.5,6.80%,11.60%,23.10%,48.40%,11.90%
2025,Diamond Miller,DAL,25,6-3,178,Maryland,USA,40,4,1.3,0.8,-11.3,2.40%,9.60%,17.80%,51.90%,11.70%
2025,Dominique Malonga,SEA,20,6-6,-,None,France,42,7.7,4.6,0.9,-1.3,9.10%,24.10%,23.90%,56.60%,11.00%
2025,Elizabeth Kitley,LVA,24,6-6,-,Virginia Tech,USA,12,1.3,1.4,0.1,-25,4.30%,14.90%,14.20%,31.40%,2.00%
2025,Elizabeth Williams,CHI,32,6-3,200,Duke,USA,43,8.5,5.2,1.8,-10.7,8.90%,15.40%,20.10%,50.20%,16.50%
2025,Emily Engstler,WAS,26,6-1,180,Louisville,USA,40,3.7,3.3,1.5,-8.7,7.60%,18.60%,15.70%,48.70%,19.10%
2025,Emma Cannon,LAS,36,6-2,190,Florida Southern,USA,21,4.4,1.8,0.4,-3.6,5.70%,12.60%,17.80%,63.60%,6.90%
2025,Emma Meesseman,NYL,32,6-4,191,None,Belgium,17,13.4,5.1,3.2,3.6,6.00%,14.80%,22.10%,65.00%,23.50%
2025,Erica Wheeler,SEA,35,5-7,143,Rutgers,USA,44,10.3,2.7,3.3,3.7,1.50%,9.40%,19.70%,51.50%,20.50%
2025,Ezi Magbegor,SEA,26,6-4,181,None,Australia,44,8,6.2,2.1,2.8,7.10%,16.20%,13.60%,54.70%,11.90%
2025,Gabby Williams,SEA,29,5-11,172,Connecticut,USA,44,11.6,4.3,4.2,6.2,1.70%,12.20%,18.60%,50.80%,20.50%
2025,Grace Berger,DAL,26,5-11,163,Indiana,USA,19,3.4,3.3,3.1,-14.6,2.50%,12.80%,11.80%,33.50%,20.40%
2025,Hailey Van Lith,CHI,24,5-9,-,TCU,,29,3.5,1.1,1.6,-12.1,1.10%,7.70%,19.20%,41.60%,22.20%
2025,Haley Jones,DAL,24,6-1,187,Stanford,USA,28,7.3,3.5,2.3,-9,2.80%,13.80%,17.80%,50.10%,16.90%
2025,Haley Peters,CON,33,6-3,178,Duke,,33,2.1,2.2,0.8,-15.3,6.20%,14.60%,12.60%,38.80%,11.20%
2025,Iliana Rupert,GSV,24,6-4,189,None,France,21,9.3,3.9,1.6,8.2,4.70%,12.00%,17.20%,60.90%,12.50%
2025,Isabelle Harrison,NYL,32,6-3,183,Tennessee,USA,34,4.9,2.6,0.7,-0.9,8.70%,16.40%,21.10%,54.60%,12.60%
2025,JJ Quinerly,DAL,23,5-8,-,West Virginia,USA,34,6.5,1.9,2.3,-3.4,3.20%,8.70%,20.00%,52.90%,22.80%
2025,Jackie Young,LVA,28,6-0,165,Notre Dame,USA,44,16.5,4.5,5.1,9.1,4.00%,10.50%,23.10%,59.60%,29.40%
2025,Jacy Sheldon,WAS,25,5-10,140,Ohio State,USA,30,7.5,1.9,1.9,-18.5,3.10%,5.40%,13.60%,59.30%,14.20%
2025,Jade Melbourne,WAS,23,5-10,145,None,Australia,43,5.9,1.9,2.9,-10,1.70%,6.40%,14.20%,49.60%,20.90%
2025,Jaelyn Brown,CON,27,6-1,170,California,USA,10,3.7,1.2,0.1,-22.2,2.90%,6.30%,14.10%,48.80%,1.30%
2025,Janelle Salaun,GSV,24,6-2,-,None,France,36,11.3,5.1,1.2,-0.5,3.30%,15.40%,20.50%,52.30%,8.70%
2025,Jaylyn Sherrod,MIN,24,5-7,160,Colorado,USA,26,1.2,0.6,0.5,-9.3,1.50%,9.30%,13.60%,44.50%,14.50%
2025,Jessica Shepard,MIN,29,6-4,175,Notre Dame,USA,40,8,7.3,2.6,9.8,11.40%,23.60%,16.00%,63.40%,20.10%
2025,Jewell Loyd,LVA,32,5-11,175,Notre Dame,USA,44,11.2,3.2,1.8,5,4.00%,7.40%,17.90%,53.60%,10.50%
2025,Jonquel Jones,NYL,32,6-6,215,George Washington,Bahamas,31,13.6,8.1,2.7,8.1,5.90%,23.30%,22.30%,61.10%,17.80%
2025,Jordin Canada,ATL,30,5-6,135,UCLA,USA,28,11.2,3.3,5.7,12.5,1.00%,10.30%,20.80%,49.80%,32.20%
2025,Joyner Holmes,LVA,28,6-3,210,University of Texas at Austin,USA,6,1.2,1,0,-3.6,7.40%,14.80%,23.30%,29.20%,0.00%
2025,Julie Allemand,LAS,29,5-8,147,None,Belgium,34,5.4,3.7,5,2.1,1.40%,11.80%,9.90%,54.70%,24.00%
2025,Julie Vanloo,LAS,33,5-8,-,None,Belgium,35,2.8,0.9,1.9,-14,0.80%,6.40%,15.60%,42.90%,25.70%
2025,Kahleah Copper,PHX,31,6-1,165,Rutgers,USA,28,15.6,2.9,1.5,5.3,1.50%,9.40%,27.00%,54.80%,10.20%
2025,Kaila Charles,GSV,28,6-1,168,Maryland,USA,35,6.4,4.3,1,3.8,7.50%,16.20%,17.50%,53.20%,9.90%
2025,Kaitlyn Chen,GSV,24,5-9,-,Connecticut,,24,2,0.9,1,-3.7,1.80%,6.60%,12.00%,45.20%,17.50%
2025,Kalani Brown,PHX,29,6-7,245,Baylor,USA,29,5.1,4,0.6,-7.4,9.50%,20.70%,15.40%,66.40%,8.10%
2025,Kamiah Smalls,ATL,28,5-10,161,James Madison,USA,3,0,0,0,15.3,0.00%,0.00%,0.00%,0.00%,0.00%
2025,Kamilla Cardoso,CHI,25,6-7,215,South Carolina,USA,40,13.6,8.5,2.5,-14,10.50%,20.60%,22.50%,56.50%,17.70%
2025,Kariata Diaby,CON,30,6-4,-,None,Côte d'Ivoire,13,1.9,1,0.4,-16.5,3.20%,11.50%,13.30%,62.00%,8.10%
2025,Karlie Samuelson,MIN,30,6-0,162,Stanford,USA,16,3.3,1.3,1.1,17.2,1.50%,6.90%,11.50%,55.00%,10.80%
2025,Kate Martin,GSV,25,6-0,172,Iowa,USA,42,6.2,2.7,1,-2.3,2.80%,13.00%,20.20%,45.90%,10.90%
2025,Kathryn Westbeld,PHX,30,6-3,-,Notre Dame,USA,43,5.1,2.5,0.9,4.5,3.70%,9.90%,13.70%,48.20%,7.70%
2025,Kayla McBride,MIN,33,5-11,185,Notre Dame,USA,39,14.2,2.3,3.5,12.5,0.90%,6.40%,19.70%,58.40%,16.90%
2025,Kayla Thornton,GSV,33,6-1,190,Texas-El Paso,USA,22,14,7,1.5,2.1,5.80%,17.00%,22.70%,49.30%,9.60%
2025,Kelsey Mitchell,IND,30,5-8,155,Ohio State,USA,44,20.2,1.8,3.4,6,1.30%,4.40%,26.40%,57.40%,18.80%
2025,Kelsey Plum,LAS,31,5-8,145,Washington,USA,43,19.5,3.1,5.7,-2.3,0.70%,8.20%,24.60%,57.80%,27.40%
2025,Kennedy Burke,NYL,29,6-1,182,UCLA,USA,36,8.1,2.4,1.3,4.4,2.90%,7.60%,15.50%,60.20%,9.90%
