season,player_name,player_team,player_age,player_height_raw,Weight,player_college,player_country,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
2025,Yvonne Anderson,MIN,36,5-7,149,University of Texas at Austin,USA,1,0,1,2,61.9,0.00%,6.70%,9.40%,0.00%,18.20%
2025,Zia Cooke,SEA,25,5-9,163,South Carolina,USA,26,3.5,0.5,0.5,-13.4,2.30%,3.10%,19.20%,47.80%,9.00%
2025,182 Rows • Page All1234 of 4,,,,,,,,,,,,,,,,
2025,General Information,,,,,,,,,,,,,,,,
2025,Newsletter Sign Up,,,,,,,,,,,,,,,,
2025,Career Opportunities,,,,,,,,,,,,,,,,
2025,Contact the WNBA,,,,,,,,,,,,,,,,
2025,Officiating Information,,,,,,,,,,,,,,,,
2025,Gaming Operators,,,,,,,,,,,,,,,,
2025,License Application,,,,,,,,,,,,,,,,
2025,Help Center,,,,,,,,,,,,,,,,
2025,About the WNBA,,,,,,,,,,,,,,,,
2025,Changemakers,,,,,,,,,,,,,,,,
2025,League History,,,,,,,,,,,,,,,,
2025,Key Dates,,,,,,,,,,,,,,,,
2025,Rules of the Game,,,,,,,,,,,,,,,,
2025,Fan Code of Conduct,,,,,,,,,,,,,,,,
2025,Frequently Asked Questions,,,,,,,,,,,,,,,,
2025,More NBA Sites,,,,,,,,,,,,,,,,
2025,NBA,,,,,,,,,,,,,,,,
2025,NBA 2K,,,,,,,,,,,,,,,,
2025,Junior NBA,,,,,,,,,,,,,,,,
2025,G League,,,,,,,,,,,,,,,,
2025,Basketball Africa League,,,,,,,,,,,,,,,,
2025,Privacy Policy,,,,,,,,,,,,,,,,
2025,California Privacy Statement,,,,,,,,,,,,,,,,
2025,Colorado Privacy Statement,,,,,,,,,,,,,,,,
2025,EEA / UK Privacy Statement,,,,,,,,,,,,,,,,
2025,Brazil Privacy Statement,,,,,,,,,,,,,,,,
2025,Customer Support,,,,,,,,,,,,,,,,
2025,Terms of Use,,,,,,,,,,,,,,,,
2025,League Pass Terms of Use,,,,,,,,,,,,,,,,
2025,Accessibility and Closed Captions,,,,,,,,,,,,,,,,
2025,Cookie Policy,,,,,,,,,,,,,,,,
2025,Do Not Sell My Personal Information,,,,,,,,,,,,,,,,
2025,"Copyright 2022 NBA Media Ventures, LLC. All rights reserved. No portion of NBA.com may be duplicated, redistributed or manipulated in any form. By accessing any information beyond this page, you agree to abide by the NBA.com If you are having difficulty accessing any content on this website, please visit our Accessibility page.",,,,,,,,,,,,,,,,
