season,player_name,season_plusone_salary_usd,season_plusone_signing,games_played,minutes_total,PER,PER_per_min,win_shares,off_ws,def_ws,ws_per40,off_ws_per40,def_ws_per40,player_off_rtg,player_def_rtg
2025,A'ja Wilson,1400000,UFA,40,1247,33.1,41343,8.9,6.3,2.6,0.29,0.2,0.08,118.6,93.3
2025,Kelsey Mitchell,1400000,Core,44,1381,20,27655,5.6,4.8,0.8,0.16,0.14,0.02,114,105.4
2025,Napheesa Collier,1400000,Core,33,1065,30.2,32106,7.6,5.4,2.2,0.29,0.2,0.08,122.9,93.8
2025,Ezi Magbegor,1250000,Core,44,1203,15.9,19090,4.2,2.3,1.9,0.14,0.08,0.06,112.9,97.5
2025,Kahleah Copper,1200000,UFA,28,752,14.7,11094,1.5,0.8,0.8,0.08,0.04,0.04,98.4,101.8
2025,Alyssa Thomas,1200000,UFA,39,1221,25.1,30588,6.6,4.4,2.2,0.22,0.14,0.07,113.5,95.7
2025,Marina Mabrey,1200000,Core,35,1103,11.3,12490,-0.1,0,-0.1,0,0,0,91.9,110.6
2025,Brittney Sykes,1190000,UFA,39,1193,13.5,16124,2.1,1,1.1,0.07,0.03,0.04,97.7,102.9
2025,Gabby Williams,1190000,UFA,44,1391,15.6,21728,3.5,1.3,2.2,0.1,0.04,0.06,99.6,97.3
2025,Brittney Griner,1190000,UFA,39,810,16.2,13154,2.4,1.1,1.4,0.12,0.05,0.07,102.1,96.6
2025,Courtney Williams,1190000,UFA,44,1260,18.1,22825,4.5,2.5,2.1,0.14,0.08,0.07,104.1,97.1
2025,Alanna Smith,1190000,UFA,42,1114,18,20095,4.5,2.2,2.3,0.16,0.08,0.08,110,93.7
2025,Jonquel Jones,1190000,UFA,31,830,20.4,16905,3.4,2.2,1.3,0.17,0.1,0.06,110.8,97.9
2025,Breanna Stewart,1190000,UFA,31,948,23.7,22486,4.7,3.2,1.5,0.2,0.13,0.07,112.6,97.3
2025,Kayla McBride,1190000,UFA,39,1220,16.1,19646,4.5,3.1,1.4,0.15,0.1,0.05,113.3,101.2
2025,Jackie Young,1190000,UFA,44,1336,22.1,29572,6.3,5,1.3,0.19,0.15,0.04,116.9,102.5
2025,Allisha Gray,1190000,UFA,42,1451,19.6,28457,7.2,5.2,2,0.2,0.14,0.06,119,99.2
2025,Shakira Austin,1190000,RFA,38,874,18.5,16164,1.6,0.2,1.5,0.07,0.01,0.07,92.9,96.8
2025,Arike Ogunbowale,1190000,Core,29,966,13.3,12825,1.3,1.3,0,0.05,0.05,0,101.8,110
2025,Sabrina Ionescu,1190000,Core,38,1194,20.6,24600,4.5,3.2,1.3,0.15,0.11,0.04,107,101.3
2025,Bridget Carleton,1190000,Core,44,1227,10,12270,3.2,1.7,1.5,0.1,0.06,0.05,112.2,100.7
2025,Dearica Hamby,1100000,UFA,44,1374,23.7,32604,5.5,4.7,0.9,0.16,0.14,0.03,113.7,105
2025,Rhyne Howard,1100000,RFA,33,1151,18.2,20907,4.9,3.1,1.8,0.17,0.11,0.06,111,97.6
2025,Ariel Atkins,1085000,Core,34,970,16,15499,2,1.5,0.4,0.08,0.06,0.02,103.6,106.5
2025,Temi Fágbénlé,1000000,UFA,39,925,12.8,11845,2.4,1,1.3,0.1,0.04,0.06,102.9,98.5
2025,Chelsea Gray,1000000,UFA,44,1368,15.3,20967,3.7,2.2,1.4,0.11,0.07,0.04,105.5,101.9
2025,Kennedy Burke,1000000,UFA,36,779,13.9,10868,2.1,1.4,0.7,0.11,0.07,0.04,110.4,103.1
2025,Azurá Stevens,1000000,UFA,44,1249,20,24953,4.5,3.4,1.1,0.14,0.11,0.04,115.5,102.9
2025,Brionna Jones,1000000,UFA,44,1169,22.4,26216,6.3,4.2,2.1,0.22,0.14,0.07,119.1,95.9
2025,Jessica Shepard,1000000,UFA,40,835,20.9,17469,4.2,2.8,1.4,0.2,0.14,0.07,121.6,96.8
2025,Aliyah Boston,1000000,Rookie,44,1327,22.5,29890,6.7,4.7,2,0.2,0.14,0.06,117.9,98.1
2025,Kelsey Plum,999999,Core,43,1508,18.1,27311,4.5,4.6,-0.1,0.12,0.12,0,111.4,110.5
2025,Nneka Ogwumike,950000,UFA,44,1359,22,29825,5.6,3.7,1.9,0.16,0.11,0.06,110.3,99
2025,Veronica Burton,925000,RFA,44,1292,19,24566,6.1,4.3,1.8,0.19,0.13,0.06,117.1,99.1
2025,Skylar Diggins,920000,UFA,43,1343,18.8,25297,4.8,3.4,1.3,0.14,0.1,0.04,108.5,102.1
