team,team_slug,view_mode,player,column,value,core_years
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Allisha Gray  This HTML5 audio player is not supported by your browser  $('#allisha-gray-pronounce-name-icon-20638').click(function (event) {  toggle_play_player_name_pronunciation('allisha-gray',20638)  });  $('#allisha-gray-pronounce-name-audio-20638').on('ended',function (event) {  pronounce_icon_not_playing('allisha-gray-pronounce-name-icon-20638',20638)  });",2026,"$1,190,000  17.0%  20.0%","2026, 2027, 2028"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Allisha Gray  This HTML5 audio player is not supported by your browser  $('#allisha-gray-pronounce-name-icon-20638').click(function (event) {  toggle_play_player_name_pronunciation('allisha-gray',20638)  });  $('#allisha-gray-pronounce-name-audio-20638').on('ended',function (event) {  pronounce_icon_not_playing('allisha-gray-pronounce-name-icon-20638',20638)  });",2027,"$1,240,000  $???,???  18.3%","2026, 2027, 2028"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Allisha Gray  This HTML5 audio player is not supported by your browser  $('#allisha-gray-pronounce-name-icon-20638').click(function (event) {  toggle_play_player_name_pronunciation('allisha-gray',20638)  });  $('#allisha-gray-pronounce-name-audio-20638').on('ended',function (event) {  pronounce_icon_not_playing('allisha-gray-pronounce-name-icon-20638',20638)  });",2028,"$1,270,000  $???,???  21.2%","2026, 2027, 2028"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Allisha Gray  This HTML5 audio player is not supported by your browser  $('#allisha-gray-pronounce-name-icon-20638').click(function (event) {  toggle_play_player_name_pronunciation('allisha-gray',20638)  });  $('#allisha-gray-pronounce-name-audio-20638').on('ended',function (event) {  pronounce_icon_not_playing('allisha-gray-pronounce-name-icon-20638',20638)  });",2029,UFA,"2026, 2027, 2028"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Rhyne Howard  This HTML5 audio player is not supported by your browser  $('#rhyne-howard-pronounce-name-icon-85174').click(function (event) {  toggle_play_player_name_pronunciation('rhyne-howard',85174)  });  $('#rhyne-howard-pronounce-name-audio-85174').on('ended',function (event) {  pronounce_icon_not_playing('rhyne-howard-pronounce-name-icon-85174',85174)  });",2026,"$1,100,000  15.7%  18.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Rhyne Howard  This HTML5 audio player is not supported by your browser  $('#rhyne-howard-pronounce-name-icon-85174').click(function (event) {  toggle_play_player_name_pronunciation('rhyne-howard',85174)  });  $('#rhyne-howard-pronounce-name-audio-85174').on('ended',function (event) {  pronounce_icon_not_playing('rhyne-howard-pronounce-name-icon-85174',85174)  });",2027,"$1,125,000  $???,???  16.6%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Rhyne Howard  This HTML5 audio player is not supported by your browser  $('#rhyne-howard-pronounce-name-icon-85174').click(function (event) {  toggle_play_player_name_pronunciation('rhyne-howard',85174)  });  $('#rhyne-howard-pronounce-name-audio-85174').on('ended',function (event) {  pronounce_icon_not_playing('rhyne-howard-pronounce-name-icon-85174',85174)  });",2028,"$1,150,000  $???,???  19.2%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Rhyne Howard  This HTML5 audio player is not supported by your browser  $('#rhyne-howard-pronounce-name-icon-85174').click(function (event) {  toggle_play_player_name_pronunciation('rhyne-howard',85174)  });  $('#rhyne-howard-pronounce-name-audio-85174').on('ended',function (event) {  pronounce_icon_not_playing('rhyne-howard-pronounce-name-icon-85174',85174)  });",2029,UFA,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Brionna Jones  This HTML5 audio player is not supported by your browser  $('#brionna-jones-pronounce-name-icon-55493').click(function (event) {  toggle_play_player_name_pronunciation('brionna-jones',55493)  });  $('#brionna-jones-pronounce-name-audio-55493').on('ended',function (event) {  pronounce_icon_not_playing('brionna-jones-pronounce-name-icon-55493',55493)  });",2026,"$1,000,000  14.3%  16.8%","2023, 2024"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Brionna Jones  This HTML5 audio player is not supported by your browser  $('#brionna-jones-pronounce-name-icon-55493').click(function (event) {  toggle_play_player_name_pronunciation('brionna-jones',55493)  });  $('#brionna-jones-pronounce-name-audio-55493').on('ended',function (event) {  pronounce_icon_not_playing('brionna-jones-pronounce-name-icon-55493',55493)  });",2027,"$1,025,000  $???,???  15.1%","2023, 2024"
