Player_Name,Position_full,Position,Number,Team,Height,College,Country
A'ja Wilson,Center,C,22,Las Vegas Aces,6-4,South Carolina,USA
Aaliyah Edwards,Forward,F,24,Connecticut Sun,6-3,UConn,Canada
Aaliyah Nye,Guard-Forward,"G, F",13,Las Vegas Aces,6-0,Alabama,USA
Aari McDonald,Guard,G,2,Indiana Fever,5-6,Arizona,USA
Aerial Powers,Guard,G,23,Indiana Fever,5-11,Michigan State,USA
Ajae Petty,Center,C,5,Dallas Wings,6-2,Ohio State,
Alanna Smith,Forward,F,8,Minnesota Lynx,6-4,Stanford,Australia
Alexis Prince,Forward,F,TBD,,6-2,Baylor,USA
Alissa Pili,Forward,F,24,Los Angeles Sparks,5-11,Utah,USA
Aliyah Boston,Center-Forward,"C, F",7,Indiana Fever,6-5,South Carolina,USA
Allisha Gray,Guard,G,15,Atlanta Dream,6-0,South Carolina,USA
Alysha Clark,Forward,F,32,Washington Mystics,5-11,Middle Tennessee,USA
Alyssa Thomas,Forward,F,25,Phoenix Mercury,6-2,Maryland,USA
Amy Okonkwo,Forward,F,0,Dallas Wings,6-2,TCU,USA
Anastasiia Olairi Kosu,Forward,F,7,Minnesota Lynx,6-1,,Russia
Aneesah Morrow,Forward,F,24,Connecticut Sun,6-1,LSU,USA
Angel Reese,Forward,F,5,Chicago Sky,6-3,LSU,USA
Ariel Atkins,Guard,G,7,Chicago Sky,5-10,University of Texas at Austin,USA
Arike Ogunbowale,Guard,G,24,Dallas Wings,5-8,Notre Dame,USA
Aziaha James,Guard,G,10,Dallas Wings,5-10,NC State,USA
Azurá Stevens,Forward-Center,"F, C",23,Los Angeles Sparks,6-6,UConn,USA
Breanna Stewart,Forward,F,30,New York Liberty,6-4,UConn,USA
Bree Hall,Guard,G,3,Indiana Fever,6-1,South Carolina,USA
Bria Hartley,Guard,G,14,Connecticut Sun,5-9,Connecticut,USA
Brianna Turner,Forward-Center,"F, C",11,Indiana Fever,6-3,Notre Dame,USA
Bridget Carleton,Forward,F,6,Minnesota Lynx,6-2,Iowa State,Canada
Brionna Jones,Forward,F,24,Atlanta Dream,6-3,Maryland,USA
Brittney Griner,Center,C,42,Atlanta Dream,6-9,Baylor,USA
Brittney Sykes,Guard,G,20,Seattle Storm,5-9,Syracuse,USA
Caitlin Clark,Guard,G,22,Indiana Fever,6-0,Iowa,USA
Cameron Brink,Forward,F,22,Los Angeles Sparks,6-4,Stanford,USA
Camryn Taylor,Forward,F,20,Minnesota Lynx,6-1,Virginia,USA
Carla Leite,Guard,G,0,Golden State Valkyries,5-9,,France
Cecilia Zandalasini,Forward,F,24,Golden State Valkyries,6-2,PF Schio,Italy
Chelsea Gray,Guard,G,12,Las Vegas Aces,5-11,Duke,USA
Cheyenne Parker-Tyus,Forward,F,32,Las Vegas Aces,6-4,Middle Tennessee,USA
Chloe Bibby,Forward,F,55,Indiana Fever,6-2,Maryland,Australia
Christyn Williams,Guard,G,31,Dallas Wings,5-11,UConn,USA
Courtney Vandersloot,Guard,G,22,Chicago Sky,5-8,Gonzaga,USA
Courtney Williams,Guard,G,10,Minnesota Lynx,5-8,South Florida,USA
Crystal Bradford,Forward,F,TBD,,6-0,Central Michigan,USA
Damiris Dantas,Center-Forward,"C, F",12,Indiana Fever,6-4,Real Celta Vigo,Brazil
Dana Evans,Guard,G,11,Las Vegas Aces,5-6,Louisville,USA
Dearica Hamby,Forward,F,5,Los Angeles Sparks,6-3,Wake Forest,USA
DeWanna Bonner,Guard-Forward,"G, F",14,Phoenix Mercury,6-4,Auburn,USA
Diamond Miller,Forward,F,1,Dallas Wings,6-3,Maryland,USA
DiJonai Carrington,Guard-Forward,"G, F",3,Minnesota Lynx,5-11,Baylor,USA
Dominique Malonga,Center,C,14,Seattle Storm,6-6,,France
Elizabeth Kitley,Center,C,TBD,,6-6,Virginia Tech,USA
Elizabeth Williams,Center-Forward,"C, F",1,Chicago Sky,6-3,Duke,USA
Emily Engstler,Forward,F,21,Washington Mystics,6-1,Louisville,USA
Emma Cannon,Forward,F,32,Los Angeles Sparks,6-2,Florida Southern,USA
Emma Meesseman,Forward,F,33,New York Liberty,6-4,ESB Villeneuve-d'Ascq,Belgium
Erica Wheeler,Guard,G,17,Seattle Storm,5-7,Rutgers,USA
Ezi Magbegor,Forward-Center,"F, C",13,Seattle Storm,6-4,Melbourne,Australia
Gabby Williams,Forward,F,5,Seattle Storm,5-11,UConn,USA
Georgia Amoore,Guard,G,8,Washington Mystics,5-7,Kentucky,Australia
Grace Berger,Guard,G,9,Dallas Wings,5-11,Indiana,USA
Hailey Van Lith,Guard,G,2,Chicago Sky,5-9,TCU,USA
Haley Jones,Forward-Guard,"F, G",30,Dallas Wings,6-1,Stanford,USA
Haley Peters,Forward-Guard,"F, G",7,Connecticut Sun,6-3,Duke,USA
Iliana Rupert,Center,C,12,Golden State Valkyries,6-4,Tango Bourges,France
Isabelle Harrison,Forward,F,21,New York Liberty,6-3,Tennessee,USA
Jackie Young,Guard,G,0,Las Vegas Aces,6-0,Notre Dame,USA
Jacy Sheldon,Guard,G,4,Washington Mystics,5-10,Ohio State,USA
Jade Melbourne,Guard,G,5,Washington Mystics,5-10,,Australia
Jaelyn Brown,Guard-Forward,"G, F",TBD,,6-1,California,USA
Janelle Salaün,Forward,F,13,Golden State Valkyries,6-2,,France
Jaylyn Sherrod,Guard,G,0,Minnesota Lynx,5-7,Colorado,USA
