season,player_name,team,season_type,stat,stat_with_player_on,stat_with_player_off,difference_with_playeron_vs_playeroff
2025,Natasha Cloud,NYL,regular season,Pts per 100 Possessions,107.797,105.601,2.2
2025,Natasha Cloud,NYL,regular season,Assist Points per 100 Possessions,66.949,63.866,3.08
2025,Natasha Cloud,NYL,regular season,FTA per 100 Possessions,22.712,25.836,-3.12
2025,Natasha Cloud,NYL,regular season,TOs per 100 Possessions,17.034,18.609,-1.57
2025,Natasha Cloud,NYL,regular season,Assists per 100 Possessions,28.093,26.829,1.26
2025,Natasha Cloud,NYL,regular season,Pts per 100 Possessions - Defense,101.897,101.178,0.72
2025,Natasha Cloud,NYL,regular season,Shot Quality - Defense,0.494,0.49,0
2025,Natasha Cloud,NYL,regular season,3pt FG% - Defense,0.323,0.298,0.03
2025,Natasha Cloud,NYL,regular season,2pt FG% - Defense,0.488,0.489,0
2025,Natasha Cloud,NYL,regular season,eFG% - Defense,0.487,0.474,0.01
2025,Natasha Cloud,NYL,regular season,3PAr - Defense,0.383,0.348,0.04
2025,Natasha Cloud,NYL,regular season,At Rim Shot Frequency - Defense,0.25,0.258,-0.01
2025,Natasha Cloud,NYL,regular season,At Rim FG% - Defense,0.642,0.625,0.02
2025,Natasha Cloud,NYL,regular season,Short Mid Range Shot Frequency - Defense,0.25,0.275,-0.02
2025,Natasha Cloud,NYL,regular season,Short Mid Range FG% - Defense,0.38,0.399,-0.02
2025,Natasha Cloud,NYL,regular season,Long Mid Range Shot Frequency - Defense,0.117,0.12,0
2025,Natasha Cloud,NYL,regular season,Long Mid Range FG% - Defense,0.389,0.403,-0.01
2025,Natasha Cloud,NYL,regular season,Corner 3 Shot Frequency - Defense,0.088,0.072,0.02
2025,Natasha Cloud,NYL,regular season,Corner 3 FG% - Defense,0.333,0.264,0.07
2025,Natasha Cloud,NYL,regular season,Arc 3 Shot Frequency - Defense,0.296,0.276,0.02
2025,Natasha Cloud,NYL,regular season,Arc 3 FG% - Defense,0.32,0.307,0.01
2025,Natasha Cloud,NYL,regular season,Pace,97.013,94.867,2.15
2025,Natasha Cloud,NYL,regular season,Second Chance Efficiency,117.961,98.496,19.47
2025,Natasha Cloud,NYL,regular season,Penalty Efficiency,109.746,105.263,4.48
2025,Natasha Cloud,NYL,regular season,Second Chance Possessions Per 100 Possessions,8.729,12.014,-3.29
2025,Natasha Cloud,NYL,regular season,First Chance Points Per 100 Possessions,97.5,93.767,3.73
2025,Natasha Cloud,NYL,regular season,Second Chance Points Per 100 Possessions,10.297,11.834,-1.54
2024,Natasha Cloud,PHX,regular season,2pt FGM Assist%,0.606,0.614,-0.01
2024,Natasha Cloud,PHX,regular season,Non Putback 2pt FGM Assist%,0.626,0.659,-0.03
2024,Natasha Cloud,PHX,regular season,3pt FGM Assist%,0.874,0.81,0.07
2024,Natasha Cloud,PHX,regular season,3pt FG%,0.333,0.299,0.04
2024,Natasha Cloud,PHX,regular season,Non-Heave 3pt FG%,0.336,0.301,0.04
2024,Natasha Cloud,PHX,regular season,2pt FG%,0.5,0.535,-0.04
2024,Natasha Cloud,PHX,regular season,eFG%,0.5,0.501,0
2024,Natasha Cloud,PHX,regular season,TS%,0.545,0.543,0
2024,Natasha Cloud,PHX,regular season,3PAr,0.397,0.391,0.01
