table_name,rows,build_status,required_fields,present_fields,non_null_fields,coverage_pct,status,expected_rows,actual_rows,missing_rows,min_rows_threshold,quality_report_validation,quality_report_missing_keys,source_files
onoff_metrics,458,final,109,109,109,100.0,ready,,,,100,,,data/doc2_roster_value/tables/players_master/players_master.csv; data/doc2_roster_value/tables/team_rosters/team_rosters.csv; data/doc2_roster_value/tables/team_salary_cap/team_salary_cap.csv; data/doc2_roster_value/tables/contracts_2026/contracts_2026.csv; data/doc2_roster_value/tables/player_season_stats/player_season_stats.csv; data/doc2_roster_value/tables/advanced_player_metrics/advanced_player_metrics.csv; data/doc2_roster_value/tables/playoff_experience/playoff_experience.csv; data/doc2_roster_value/tables/transactions_2026/transactions_2026.csv; data/doc2_roster_value/tables/team_roster_history/team_roster_history.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1627668__083e9039__results.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1627673__8fa9364a__results.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1629477__143038aa__results.csv
player_archetypes,300,final,77,77,52,67.53,ready,,,,100,,,data/doc2_roster_value/tables/players_master/players_master.csv; data/doc2_roster_value/tables/team_rosters/team_rosters.csv; data/doc2_roster_value/tables/team_salary_cap/team_salary_cap.csv; data/doc2_roster_value/tables/contracts_2026/contracts_2026.csv; data/doc2_roster_value/tables/player_season_stats/player_season_stats.csv; data/doc2_roster_value/tables/advanced_player_metrics/advanced_player_metrics.csv; data/doc2_roster_value/tables/playoff_experience/playoff_experience.csv; data/doc2_roster_value/tables/transactions_2026/transactions_2026.csv; data/doc2_roster_value/tables/team_roster_history/team_roster_history.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1627668__083e9039__results.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1627673__8fa9364a__results.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1629477__143038aa__results.csv
comparable_players,1500,final,28,28,26,92.86,ready,,,,100,,,data/doc2_roster_value/tables/players_master/players_master.csv; data/doc2_roster_value/tables/team_rosters/team_rosters.csv; data/doc2_roster_value/tables/team_salary_cap/team_salary_cap.csv; data/doc2_roster_value/tables/contracts_2026/contracts_2026.csv; data/doc2_roster_value/tables/player_season_stats/player_season_stats.csv; data/doc2_roster_value/tables/advanced_player_metrics/advanced_player_metrics.csv; data/doc2_roster_value/tables/playoff_experience/playoff_experience.csv; data/doc2_roster_value/tables/transactions_2026/transactions_2026.csv; data/doc2_roster_value/tables/team_roster_history/team_roster_history.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1627668__083e9039__results.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1627673__8fa9364a__results.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1629477__143038aa__results.csv
value_scores,300,final,54,54,51,94.44,ready,,,,100,,,data/doc2_roster_value/tables/players_master/players_master.csv; data/doc2_roster_value/tables/team_rosters/team_rosters.csv; data/doc2_roster_value/tables/team_salary_cap/team_salary_cap.csv; data/doc2_roster_value/tables/contracts_2026/contracts_2026.csv; data/doc2_roster_value/tables/player_season_stats/player_season_stats.csv; data/doc2_roster_value/tables/advanced_player_metrics/advanced_player_metrics.csv; data/doc2_roster_value/tables/playoff_experience/playoff_experience.csv; data/doc2_roster_value/tables/transactions_2026/transactions_2026.csv; data/doc2_roster_value/tables/team_roster_history/team_roster_history.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1627668__083e9039__results.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1627673__8fa9364a__results.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1629477__143038aa__results.csv
team_roster_grades,15,final,26,26,26,100.0,ready,,,,1,,,data/doc2_roster_value/tables/players_master/players_master.csv; data/doc2_roster_value/tables/team_rosters/team_rosters.csv; data/doc2_roster_value/tables/team_salary_cap/team_salary_cap.csv; data/doc2_roster_value/tables/contracts_2026/contracts_2026.csv; data/doc2_roster_value/tables/player_season_stats/player_season_stats.csv; data/doc2_roster_value/tables/advanced_player_metrics/advanced_player_metrics.csv; data/doc2_roster_value/tables/playoff_experience/playoff_experience.csv; data/doc2_roster_value/tables/transactions_2026/transactions_2026.csv; data/doc2_roster_value/tables/team_roster_history/team_roster_history.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1627668__083e9039__results.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1627673__8fa9364a__results.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1629477__143038aa__results.csv
market_benchmarks,25,final,32,32,32,100.0,ready,,,,1,,,data/doc2_roster_value/tables/players_master/players_master.csv; data/doc2_roster_value/tables/team_rosters/team_rosters.csv; data/doc2_roster_value/tables/team_salary_cap/team_salary_cap.csv; data/doc2_roster_value/tables/contracts_2026/contracts_2026.csv; data/doc2_roster_value/tables/player_season_stats/player_season_stats.csv; data/doc2_roster_value/tables/advanced_player_metrics/advanced_player_metrics.csv; data/doc2_roster_value/tables/playoff_experience/playoff_experience.csv; data/doc2_roster_value/tables/transactions_2026/transactions_2026.csv; data/doc2_roster_value/tables/team_roster_history/team_roster_history.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1627668__083e9039__results.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1627673__8fa9364a__results.csv; data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2023__season_type-Playoffs__team_id-1611661313__player_id-1629477__143038aa__results.csv
