team,note,source,source_url
Atlanta Dream,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Golden State Valkyries,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Indiana Fever,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Las Vegas Aces,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Los Angeles Sparks,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Minnesota Lynx,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
New York Liberty,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Phoenix Mercury,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Portland Fire,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Seattle Storm,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Toronto Tempo,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Washington Mystics,"All values shown reflect cap hit, not base salary.",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
