team,team_slug,metric,season_year,value_numeric,value_text,source,source_url
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,Salary Cap,2026,7000000,"$7,000,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,Roster Size Requirement,2026,12,12,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,Maximum Protected Veterans,2026,7,7,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,Player Supermaximum,2026,1400000,"$1,400,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,Player Maximum,2026,1190000,"$1,190,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,Player Minimum (0 YOS),2026,270000,"$270,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,Player Minimum (1 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,Player Minimum (2 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,Player Minimum (3 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,Player Minimum (4-6 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,Player Minimum (7-9 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,Player Minimum (10+ YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,Salary Cap,2026,7000000,"$7,000,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,Roster Size Requirement,2026,12,12,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,Maximum Protected Veterans,2026,7,7,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,Player Supermaximum,2026,1400000,"$1,400,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,Player Maximum,2026,1190000,"$1,190,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,Player Minimum (0 YOS),2026,270000,"$270,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,Player Minimum (1 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,Player Minimum (2 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,Player Minimum (3 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,Player Minimum (4-6 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,Player Minimum (7-9 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,Player Minimum (10+ YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,Salary Cap,2026,7000000,"$7,000,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,Roster Size Requirement,2026,12,12,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,Maximum Protected Veterans,2026,7,7,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,Player Supermaximum,2026,1400000,"$1,400,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,Player Maximum,2026,1190000,"$1,190,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,Player Minimum (0 YOS),2026,270000,"$270,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,Player Minimum (1 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,Player Minimum (2 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,Player Minimum (3 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,Player Minimum (4-6 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,Player Minimum (7-9 YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,Player Minimum (10+ YOS),2026,277500,"$277,500",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,Salary Cap,2026,7000000,"$7,000,000",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
