team,team_slug,row_type,player,core_years,salary_cap_hit_2026,pct_of_cap_2026,pct_of_team_2026,status_2026,salary_cap_hit_2027,pct_of_cap_2027,pct_of_team_2027,status_2027,salary_cap_hit_2028,pct_of_cap_2028,pct_of_team_2028,status_2028,salary_cap_hit_2029,pct_of_cap_2029,pct_of_team_2029,status_2029,salary_cap_hit_2030,pct_of_cap_2030,pct_of_team_2030,status_2030,source,source_url
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Allisha Gray,"2026, 2027, 2028",1190000,17.0,20.0,,1240000,,18.3,,1270000,,21.2,,,,,UFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Rhyne Howard,,1100000,15.7,18.5,,1125000,,16.6,,1150000,,19.2,,,,,UFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Brionna Jones,"2023, 2024",1000000,14.3,16.8,,1025000,,15.1,,1050000,,17.5,,,,,UFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Naz Hillmon,,840000,12.0,14.1,,850000,,12.5,,860000,,14.4,,,,,UFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Jordin Canada,"2024, 2025",650000,9.3,10.9,,650000,,9.6,,,,,UFA,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Angel Reese,,350692,5.0,5.9,,396282,,5.8,,,,,RFA,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Madina Okot,,289133,4.1,4.9,,300698,,4.4,,330768,,5.5,,373768,,34.3,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Te-Hina Paopao,,277500,4.0,4.7,,305250,,4.5,,344933,,5.8,,,,,RFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Taylor Thierry,,277500,4.0,4.7,,305250,,4.5,,344933,,5.8,,,,,RFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Maite Cazorla,,277500,4.0,4.7,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Stephanie Jones,,277500,4.0,4.7,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
