player_id,player_name,team_id,team_name,season,salary_tier,salary,cap_hit,expected_salary_source,expected_salary,salary_history_reference_salary,salary_history_gap,salary_history_gap_pct,historical_salary_latest,historical_salary_median,historical_salary_mean,historical_salary_min,historical_salary_max,historical_salary_rows,historical_salary_latest_season,historical_salary_latest_contract_year,historical_salary_latest_signing,historical_salary_contract_years,historical_salary_tier,recommended_salary_low,recommended_salary_high,salary_gap,salary_gap_pct,market_discount_pct,production_score,salary_efficiency_score,scarcity_score,playoff_performance_score,playoff_score,onoff_score,value_score,value_label,undervalued_flag,hidden_talent_flag,overvalued_flag,archetype_family,archetype_label,role_band,service_band,skill_signature,comp_count,playoff_ts_pct_percentile,playoff_ts_pct_vs_reg_delta,playoff_performance_flag,playoff_performance_bonus,reg_2025_onoff_impact_score,playoffs_2025_onoff_impact_score,reg_2024_onoff_impact_score,playoffs_2024_onoff_impact_score
1628277,Allisha Gray,1611661330,Atlanta Dream,2026,Max / Protected Veteran Top Tier,1190000.0,1190000.0,comparables,1000000.0,1190000.0,0.0,0.0,1190000.0,190000.0,521666.6666666667,185000.0,1190000.0,3.0,2025.0,2026.0,UFA,2024|2025|2026,Star,850000.0,1150000.0,190000.0,0.19,0.19,59.24,40.5,0.0,50.17,50.99,50.0,45.7,Risk,True,False,False,,Rotation Forward,Starter,early_career,balanced,5,,,False,0.0,0.0,0.0,,9.96
1642291,Angel Reese,1611661330,Atlanta Dream,2026,Low Rotation / Rookie Scale,350692.0,350692.0,comparables,407163.0,350692.0,0.0,0.0,350692.0,212800.5,212800.5,74909.0,350692.0,2.0,2025.0,2026.0,Rookie,2025|2026,Core,346088.55,468237.44999999995,-56471.0,-0.13869384005914093,-0.13869384005914093,56.25,56.93,0.0,50.17,50.04,50.0,48.29,Risk,False,False,True,,Rotation Forward,Starter,,balanced,5,,,False,0.0,0.0,,0.0,
player:bella_fontleroy__atlanta_dream,Bella Fontleroy,1611661330,Atlanta Dream,2026,Minimum / Training Camp / Draftee Band,270000.0,270000.0,comparables,270000.0,,,,,,,,,,,,,,,229500.0,310500.0,0.0,0.0,0.0,50.01,50.0,0.0,50.17,50.04,50.0,44.01,Risk,False,False,True,,Rotation Forward,nan,,balanced,5,,,False,0.0,,,,
1628280,Brionna Jones,1611661330,Atlanta Dream,2026,Premium Starter,1000000.0,1000000.0,comparables,1000000.0,1000000.0,0.0,0.0,1000000.0,214466.0,475488.6666666667,212000.0,1000000.0,3.0,2025.0,2026.0,UFA,2024|2025|2026,Star,850000.0,1150000.0,0.0,0.0,0.0,56.94,50.0,0.0,50.17,58.55,50.0,47.77,Risk,False,False,False,,Rotation Forward,Rotation,early_career,balanced,5,,,False,0.0,0.0,0.0,0.0,0.0
player:holly_winterburn__atlanta_dream,Holly Winterburn,1611661330,Atlanta Dream,2026,Minimum / Training Camp / Draftee Band,270000.0,270000.0,comparables,270000.0,,,,,,,,,,,,,,,229500.0,310500.0,0.0,0.0,0.0,50.01,50.0,0.0,50.17,50.04,50.0,44.01,Risk,False,False,True,,Rotation Forward,nan,,balanced,5,,,False,0.0,,,,
player:indya_nivar__atlanta_dream,Indya Nivar,1611661330,Atlanta Dream,2026,Minimum / Training Camp / Draftee Band,270000.0,270000.0,comparables,270000.0,,,,,,,,,,,,,,,229500.0,310500.0,0.0,0.0,0.0,50.01,50.0,0.0,50.17,50.04,50.0,44.01,Risk,False,False,True,,Rotation Forward,nan,,balanced,5,,,False,0.0,,,,
player:isobel_borlase__atlanta_dream,Isobel Borlase,1611661330,Atlanta Dream,2026,Minimum / Training Camp / Draftee Band,270000.0,270000.0,comparables,270000.0,,,,,,,,,,,,,,,229500.0,310500.0,0.0,0.0,0.0,50.01,50.0,0.0,50.17,50.04,50.0,44.01,Risk,False,False,True,,Rotation Forward,nan,,balanced,5,,,False,0.0,,,,
1628886,Jordin Canada,1611661330,Atlanta Dream,2026,High/Mid Starter,650000.0,650000.0,comparables,496925.5,650000.0,0.0,0.0,650000.0,190000.0,341666.6666666667,185000.0,650000.0,3.0,2025.0,2026.0,UFA,2024|2025|2026,Star,422386.675,571464.325,153074.5,0.308043157374697,0.308043157374697,49.45,34.6,0.0,50.17,44.06,50.0,39.48,Risk,True,False,True,,Rotation Forward,Rotation,early_career,balanced,5,,,False,0.0,0.0,0.0,,0.0
player:laila_phelia__atlanta_dream,Laila Phelia,1611661330,Atlanta Dream,2026,Minimum / Training Camp / Draftee Band,270000.0,270000.0,comparables,270000.0,,,,,,,,,,,,,,,229500.0,310500.0,0.0,0.0,0.0,50.01,50.0,0.0,50.17,50.04,50.0,44.01,Risk,False,False,True,,Rotation Forward,nan,,balanced,5,,,False,0.0,,,,
1631032,Lorela Cubaj,1611661330,Atlanta Dream,2026,,,,comparables,277500.0,64154.0,,,64154.0,64154.0,64154.0,64154.0,64154.0,1.0,2023.0,2024.0,UFA,2024,Minimum,235875.0,319125.0,,,,34.26,50.0,0.0,50.17,22.0,50.0,34.59,Overvalued,False,False,True,,Rotation Forward,Bench,,balanced,5,,,False,0.0,,,,100.0
