player_id,player_name,team_id,team_name,season,salary_tier,salary,cap_hit,expected_salary_source,expected_salary,salary_history_reference_salary,salary_history_gap,salary_history_gap_pct,historical_salary_latest,historical_salary_median,historical_salary_mean,historical_salary_min,historical_salary_max,historical_salary_rows,historical_salary_latest_season,historical_salary_latest_contract_year,historical_salary_latest_signing,historical_salary_contract_years,historical_salary_tier,recommended_salary_low,recommended_salary_high,salary_gap,salary_gap_pct,market_discount_pct,production_score,salary_efficiency_score,scarcity_score,playoff_performance_score,playoff_score,onoff_score,value_score,value_label,undervalued_flag,hidden_talent_flag,overvalued_flag,archetype_family,archetype_label,role_band,service_band,skill_signature,comp_count,playoff_ts_pct_percentile,playoff_ts_pct_vs_reg_delta,playoff_performance_flag,playoff_performance_bonus,reg_2025_onoff_impact_score,playoffs_2025_onoff_impact_score,reg_2024_onoff_impact_score,playoffs_2024_onoff_impact_score,override_expected_salary,override_comp_names,override_method,effective_expected_salary,override_active
1628277,Allisha Gray,1611661330,Atlanta Dream,2026,Max / Protected Veteran Top Tier,1190000.0,1190000.0,comparables,1100000.0,1190000.0,0.0,0.0,1190000.0,190000.0,521666.6666666667,185000.0,1190000.0,3.0,2025.0,2026.0,UFA,2024|2025|2026,Star,935000.0,1265000.0,90000.0,0.0818181818181818,0.0818181818181818,61.1,45.91,50.36,50.17,50.99,50.0,53.82,Fair Value,False,False,False,Guard,Scoring Guard,Starter,early_career,balanced,5,,,False,0.0,0.0,0.0,,9.96,,,,1100000.0,False
1642291,Angel Reese,1611661330,Atlanta Dream,2026,Low Rotation / Rookie Scale,350692.0,350692.0,comparables,331563.0,350692.0,0.0,0.0,350692.0,212800.5,212800.5,74909.0,350692.0,2.0,2025.0,2026.0,Rookie,2025|2026,Core,281828.55,381297.45,19129.0,0.0576934096989109,0.0576934096989109,61.64,47.12,45.32,50.17,50.04,50.0,53.64,Fair Value,False,False,False,Forward,Connector Wing,Starter,,balanced,5,,,False,0.0,0.0,,0.0,,,,,331563.0,False
player:bella_fontleroy__atlanta_dream,Bella Fontleroy,1611661330,Atlanta Dream,2026,Minimum / Training Camp / Draftee Band,270000.0,270000.0,comparables,270000.0,,,,,,,,,,,,,,,229500.0,310500.0,0.0,0.0,0.0,50.01,50.0,0.0,50.17,50.04,50.0,44.01,Risk,False,False,True,,Rotation Forward,,,balanced,5,,,False,0.0,,,,,,,,270000.0,False
1628280,Brionna Jones,1611661330,Atlanta Dream,2026,Premium Starter,1000000.0,1000000.0,comparables,1000000.0,1000000.0,0.0,0.0,1000000.0,214466.0,475488.6666666667,212000.0,1000000.0,3.0,2025.0,2026.0,UFA,2024|2025|2026,Star,850000.0,1150000.0,0.0,0.0,0.0,65.99,50.0,45.32,50.17,58.55,50.0,57.01,Fair Value,False,False,False,Forward,Rebounding Forward,Rotation,early_career,balanced,5,,,False,0.0,0.0,0.0,0.0,0.0,,,,1000000.0,False
player:holly_winterburn__atlanta_dream,Holly Winterburn,1611661330,Atlanta Dream,2026,Minimum / Training Camp / Draftee Band,270000.0,270000.0,comparables,270000.0,,,,,,,,,,,,,,,229500.0,310500.0,0.0,0.0,0.0,50.01,50.0,0.0,50.17,50.04,50.0,44.01,Risk,False,False,True,,Rotation Forward,,,balanced,5,,,False,0.0,,,,,,,,270000.0,False
player:indya_nivar__atlanta_dream,Indya Nivar,1611661330,Atlanta Dream,2026,Minimum / Training Camp / Draftee Band,270000.0,270000.0,comparables,270000.0,,,,,,,,,,,,,,,229500.0,310500.0,0.0,0.0,0.0,50.01,50.0,0.0,50.17,50.04,50.0,44.01,Risk,False,False,True,,Rotation Forward,,,balanced,5,,,False,0.0,,,,,,,,270000.0,False
player:isobel_borlase__atlanta_dream,Isobel Borlase,1611661330,Atlanta Dream,2026,Minimum / Training Camp / Draftee Band,270000.0,270000.0,comparables,270000.0,,,,,,,,,,,,,,,229500.0,310500.0,0.0,0.0,0.0,50.01,50.0,0.0,50.17,50.04,50.0,44.01,Risk,False,False,True,,Rotation Forward,,,balanced,5,,,False,0.0,,,,,,,,270000.0,False
1628886,Jordin Canada,1611661330,Atlanta Dream,2026,High/Mid Starter,650000.0,650000.0,comparables,625000.0,650000.0,0.0,0.0,650000.0,190000.0,341666.6666666667,185000.0,650000.0,3.0,2025.0,2026.0,UFA,2024|2025|2026,Star,531250.0,718750.0,25000.0,0.04,0.04,52.81,48.0,50.36,50.17,44.06,50.0,50.15,Fair Value,False,False,False,Guard,Primary Creator,Rotation,early_career,balanced,5,,,False,0.0,0.0,0.0,,0.0,,,,625000.0,False
player:laila_phelia__atlanta_dream,Laila Phelia,1611661330,Atlanta Dream,2026,Minimum / Training Camp / Draftee Band,270000.0,270000.0,comparables,270000.0,,,,,,,,,,,,,,,229500.0,310500.0,0.0,0.0,0.0,50.01,50.0,0.0,50.17,50.04,50.0,44.01,Risk,False,False,True,,Rotation Forward,,,balanced,5,,,False,0.0,,,,,,,,270000.0,False
1631032,Lorela Cubaj,1611661330,Atlanta Dream,2026,,,,comparables,348750.0,64154.0,,,64154.0,64154.0,64154.0,64154.0,64154.0,1.0,2023.0,2024.0,UFA,2024,Minimum,296437.5,401062.5,,,,34.26,50.0,0.0,50.17,22.0,50.0,34.59,Overvalued,False,False,True,,Rotation Forward,Bench,,balanced,5,,,False,0.0,,,,100.0,,,,348750.0,False
player:madina_okot__atlanta_dream,Madina Okot,1611661330,Atlanta Dream,2026,Minimum / Training Camp / Draftee Band,289133.0,289133.0,comparables,289133.0,,,,,,,,,,,,,,,245763.05,332502.94999999995,0.0,0.0,0.0,50.01,50.0,0.0,50.17,50.04,50.0,44.01,Risk,False,False,True,,Rotation Forward,,,balanced,5,,,False,0.0,,,,,,,,289133.0,False
player:maite_cazorla__atlanta_dream,Maite Cazorla,1611661330,Atlanta Dream,2026,Minimum / Training Camp / Draftee Band,277500.0,277500.0,comparables,277500.0,,,,,,,,,,,,,,,235875.0,319125.0,0.0,0.0,0.0,50.01,50.0,0.0,50.17,50.04,50.0,44.01,Risk,False,False,True,,Rotation Forward,,,balanced,5,,,False,0.0,,,,,,,,277500.0,False
1631044,Naz Hillmon,1611661330,Atlanta Dream,2026,High/Mid Starter,840000.0,840000.0,comparables,1000000.0,840000.0,0.0,0.0,840000.0,80823.0,330649.0,71124.0,840000.0,3.0,2025.0,2026.0,RFA,2024|2025|2026,Star,850000.0,1150000.0,-160000.0,-0.16,-0.16,59.03,58.0,45.32,50.17,50.36,50.0,55.19,Fair Value,False,False,True,Forward,Usage Forward,Rotation,,balanced,5,,,False,0.0,13.86,0.0,,,,,,1000000.0,False
