transaction_id,transaction_date,player_id,player_name,transaction_type,from_team,to_team,contract_value,contract_years,salary_2026,market_signal,notes,source_url
05b0de447614cb5143,2026-04-03,1631263,Nikolina Milic,expansion_draft,Connecticut Sun,Toronto Tempo,,,,expansion,The Toronto Tempo drafted Nikolina Milic from the Connecticut Sun in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
0c67c0ccb828d743ea,2026-04-03,1641650,Haley Jones,expansion_draft,Dallas Wings,Portland Fire,,,,expansion,The Portland Fire drafted Haley Jones from the Dallas Wings in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
12737eaa63b29db106,2026-04-03,1630134,Sug Sutton,expansion_draft,Washington Mystics,Portland Fire,,,,expansion,The Portland Fire drafted Sug Sutton from the Washington Mystics in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
1326dd9fc7ec4cb6d3,2026-04-03,player:adja_kane__toronto_tempo,Adja Kane,expansion_draft,New York Liberty,Toronto Tempo,,,,expansion,The Toronto Tempo drafted Adja Kane from the New York Liberty in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
1fce1bdcf63502abcd,2026-04-03,1627700,Julie Allemand,expansion_draft,Los Angeles Sparks,Toronto Tempo,,,,expansion,The Toronto Tempo drafted Julie Allemand from the Los Angeles Sparks in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
2320d3ad6c33717f0f,2026-04-03,1631118,Lexi Held,expansion_draft,Phoenix Mercury,Toronto Tempo,,,,expansion,The Toronto Tempo drafted Lexi Held from the Phoenix Mercury in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
24a2aa5221c49875ed,2026-04-03,1629497,Marina Mabrey,expansion_draft,Connecticut Sun,Toronto Tempo,,,,expansion,The Toronto Tempo drafted Marina Mabrey from the Connecticut Sun in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
3a6121cf9cb4ce2581,2026-04-03,1642299,Nika Mühl,expansion_draft,Seattle Storm,Portland Fire,,,,expansion,The Portland Fire drafted Nika Mühl from the Seattle Storm in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
4e3f9300628789255c,2026-04-03,1628929,Kristy Wallace,expansion_draft,Indiana Fever,Toronto Tempo,,,,expansion,The Toronto Tempo drafted Kristy Wallace from the Indiana Fever in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
525f8790e290109276,2026-04-03,1631055,Nyara Sabally,expansion_draft,New York Liberty,Toronto Tempo,,,,expansion,The Toronto Tempo drafted Nyara Sabally from the New York Liberty in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
5681de9036d9db9a6a,2026-04-03,1631064,Chloe Bibby,expansion_draft,Indiana Fever,Portland Fire,,,,expansion,The Portland Fire drafted Chloe Bibby from the Indiana Fever in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
590c7c1053f3de3a1c,2026-04-03,1631083,Emily Engstler,expansion_draft,Washington Mystics,Portland Fire,,,,expansion,The Portland Fire drafted Emily Engstler from the Washington Mystics in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
5ed997fb7b67a0941e,2026-04-03,1628926,Maria Kliundikova,expansion_draft,Minnesota Lynx,Toronto Tempo,,,,expansion,The Toronto Tempo drafted Maria Kliundikova from the Minnesota Lynx in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
615a2d8e1692e0e3a4,2026-04-03,1642801,Aaliyah Nye,expansion_draft,Las Vegas Aces,Toronto Tempo,,,,expansion,The Toronto Tempo drafted Aaliyah Nye from the Las Vegas Aces in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
73baa3fe69366ab565,2026-04-03,1629490,Kitija Laksa,expansion_draft,Phoenix Mercury,Toronto Tempo,,,,expansion,The Toronto Tempo drafted Kitija Laksa from the Phoenix Mercury in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
a0708827d74d48d310,2026-04-03,player:luisa_geiselsoder__portland_fire,Luisa Geiselsoder,expansion_draft,Dallas Wings,Portland Fire,,,,expansion,The Portland Fire drafted Luisa Geiselsoder from the Dallas Wings in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
a43a4c6c649fb56b3e,2026-04-03,1642782,Sarah Ashlee Barker,expansion_draft,Los Angeles Sparks,Portland Fire,,,,expansion,The Portland Fire drafted Sarah Ashlee Barker from the Los Angeles Sparks in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
b83dd75d3b506553ff,2026-04-03,1642304,Carla Leite,expansion_draft,Golden State Valkyries,Portland Fire,,,,expansion,The Portland Fire drafted Carla Leite from the Golden State Valkyries in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
bf0fe7863ed507a8b8,2026-04-03,1630471,Maya Caldwell,expansion_draft,Atlanta Dream,Portland Fire,,,,expansion,The Portland Fire drafted Maya Caldwell from the Atlanta Dream in the WNBA expansion draft.,https://www.basketball-reference.com/wnba/years/2026_transactions.html
