season,season_type,team_id,team_abbreviation,source_game_id
2024,Regular Season,1611661324,MIN,1022400025
2024,Regular Season,1611661313,NYL,1022400025
2024,Regular Season,1611661329,CHI,1022400026
2024,Regular Season,1611661323,CON,1022400026
2024,Regular Season,1611661319,LVA,1022400027
2024,Regular Season,1611661325,IND,1022400027
2024,Regular Season,1611661328,SEA,1022400028
2024,Regular Season,1611661322,WAS,1022400028
2024,Regular Season,1611661317,PHO,1022400029
2024,Regular Season,1611661321,DAL,1022400029
2024,Regular Season,1611661330,ATL,1022400030
2024,Regular Season,1611661320,LAS,1022400031
