season,season_type,team_id,player_id,player_name
2024,Regular Season,1611661324,203825,Kayla McBride
2024,Regular Season,1611661324,1627675,Courtney Williams
2024,Regular Season,1611661324,1628508,Cecilia Zandalasini
2024,Regular Season,1611661324,1628899,Myisha Hines-Allen
2024,Regular Season,1611661324,1629483,Napheesa Collier
2024,Regular Season,1611661324,1629501,Alanna Smith
2024,Regular Season,1611661324,1629524,Bridget Carleton
2024,Regular Season,1611661324,1629567,Natisha Hiedeman
2024,Regular Season,1611661324,1630151,Olivia Époupa
2024,Regular Season,1611661324,1631021,Sika Koné
2024,Regular Season,1611661324,1641649,Diamond Miller
2024,Regular Season,1611661324,1641657,Dorka Juhász
2024,Regular Season,1611661324,1641667,Taylor Soule
2024,Regular Season,1611661324,1642293,Alissa Pili
2024,Regular Season,1611661313,202664,Courtney Vandersloot
2024,Regular Season,1611661313,203866,Kayla Thornton
2024,Regular Season,1611661313,204335,Betnijah Laney-Hamilton
2024,Regular Season,1611661313,1627668,Breanna Stewart
2024,Regular Season,1611661313,1627673,Jonquel Jones
2024,Regular Season,1611661313,1629477,Sabrina Ionescu
2024,Regular Season,1611661313,1629568,Kennedy Burke
2024,Regular Season,1611661313,1630142,Leonie Fiebich
2024,Regular Season,1611661313,1631055,Nyara Sabally
2024,Regular Season,1611661313,1641602,Ivana Dojkic
2024,Regular Season,1611661313,1642301,Marquesha Davis
2024,Regular Season,1611661313,1642320,Jaylyn Sherrod
2024,Regular Season,1611661329,1630150,Chennedy Carter
2024,Regular Season,1611661329,1628263,Lindsay Allen
2024,Regular Season,1611661329,1628890,Diamond DeShields
2024,Regular Season,1611661329,1630446,Michaela Onyenwere
2024,Regular Season,1611661329,1629488,Brianna Turner
2024,Regular Season,1611661329,1630389,Dana Evans
2024,Regular Season,1611661329,1642291,Angel Reese
2024,Regular Season,1611661329,204322,Elizabeth Williams
2024,Regular Season,1611661329,1629497,Marina Mabrey
2024,Regular Season,1611661329,1630438,Kysre Gondrezick
2024,Regular Season,1611661329,204330,Isabelle Harrison
2024,Regular Season,1611661329,1642289,Kamilla Cardoso
2024,Regular Season,1611661329,1627671,Rachel Banham
2024,Regular Season,1611661329,1627669,Moriah Jefferson
2024,Regular Season,1611661329,1628273,Kaela Davis
2024,Regular Season,1611661323,201886,DeWanna Bonner
2024,Regular Season,1611661323,203826,Alyssa Thomas
2024,Regular Season,1611661323,203838,Astou Ndour-Fall
2024,Regular Season,1611661323,1627669,Moriah Jefferson
2024,Regular Season,1611661323,1627671,Rachel Banham
2024,Regular Season,1611661323,1627676,Tiffany Mitchell
2024,Regular Season,1611661323,1628280,Brionna Jones
2024,Regular Season,1611661323,1629497,Marina Mabrey
2024,Regular Season,1611661323,1630096,DiJonai Carrington
2024,Regular Season,1611661323,1630112,Tyasha Harris
2024,Regular Season,1611661323,1631007,Veronica Burton
2024,Regular Season,1611661323,1631031,Queen Egbo
2024,Regular Season,1611661323,1631135,Olivia Nelson-Ododa
2024,Regular Season,1611661323,1641698,Caitlin Bickle
2024,Regular Season,1611661323,1642298,Celeste Taylor
2024,Regular Season,1611661319,202252,Alysha Clark
2024,Regular Season,1611661319,202641,Sydney Colson
2024,Regular Season,1611661319,203026,Tiffany Hayes
2024,Regular Season,1611661319,203833,Chelsea Gray
2024,Regular Season,1611661319,204329,Kiah Stokes
2024,Regular Season,1611661319,1628242,Emma Cannon
2024,Regular Season,1611661319,1628276,Kelsey Plum
2024,Regular Season,1611661319,1628932,A'ja Wilson
2024,Regular Season,1611661319,1629484,Megan Gustafson
2024,Regular Season,1611661319,1629498,Jackie Young
2024,Regular Season,1611661319,1631006,Kierstan Bell
2024,Regular Season,1611661319,1631031,Queen Egbo
2024,Regular Season,1611661319,1642300,Dyaisha Fair
2024,Regular Season,1611661319,1642305,Jessika Carter
2024,Regular Season,1611661319,1642324,Kate Martin
2024,Regular Season,1611661325,203024,Damiris Dantas
2024,Regular Season,1611661325,204365,Erica Wheeler
2024,Regular Season,1611661325,1627701,Temi Fagbenle
2024,Regular Season,1611661325,1628909,Kelsey Mitchell
2024,Regular Season,1611661325,1628929,Kristy Wallace
2024,Regular Season,1611661325,1629478,Katie Lou Samuelson
2024,Regular Season,1611661325,1631019,NaLyssa Smith
2024,Regular Season,1611661325,1631086,Lexie Hull
2024,Regular Season,1611661325,1641648,Aliyah Boston
2024,Regular Season,1611661325,1641658,Grace Berger
2024,Regular Season,1611661325,1641687,Victaria Saxton
2024,Regular Season,1611661325,1642286,Caitlin Clark
2024,Regular Season,1611661325,1642298,Celeste Taylor
2024,Regular Season,1611661328,203014,Nneka Ogwumike
2024,Regular Season,1611661328,203400,Skylar Diggins-Smith
2024,Regular Season,1611661328,204319,Jewell Loyd
2024,Regular Season,1611661328,1628244,Sami Whitcomb
2024,Regular Season,1611661328,1628920,Mercedes Russell
2024,Regular Season,1611661328,1628927,Victoria Vivians
2024,Regular Season,1611661328,1628931,Gabby Williams
2024,Regular Season,1611661328,1629496,Ezi Magbegor
2024,Regular Season,1611661328,1630115,Joyner Holmes
2024,Regular Season,1611661328,1630461,Kiana Williams
2024,Regular Season,1611661328,1641651,Jordan Horston
2024,Regular Season,1611661328,1641675,Dulcy Fankam Mendjiadeu
2024,Regular Season,1611661328,1642299,Nika Mühl
2024,Regular Season,1611661322,203828,Stefanie Dolson
2024,Regular Season,1611661322,1628278,Shatori Walker-Kimbrough
2024,Regular Season,1611661322,1628279,Brittney Sykes
