Season,Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
2025,Monique Akoa Makani,PHO,G,41,40,881,114,265,0.43,49,123,0.398,65,142,0.458,38,41,0.927,25,91,111,32,3,55,101,315,12.2,0.556,0.523,0.464,0.155,3.2,5.9,20.5,1.9,0.3,16.3,17.3,107,106,1.2,1,2.2,0.099
2025,Julie Allemand,LAS,G,34,27,963,70,159,0.44,28,101,0.277,42,58,0.724,15,19,0.789,13,127,170,45,1,53,55,183,11.5,0.547,0.528,0.635,0.119,1.6,7.9,25.7,2.4,0.1,24.1,10.2,110,111,1.2,0.4,1.5,0.064
2025,Lindsay Allen,CON,G,31,9,450,26,65,0.4,3,18,0.167,23,47,0.489,19,23,0.826,9,32,61,10,6,31,37,74,6.6,0.493,0.423,0.277,0.354,2.3,4.2,21.5,1.2,1.3,29.2,10.7,93,116,-0.2,-0.2,-0.3,-0.029
2025,Rebecca Allen,CHI,F-G,44,17,821,82,240,0.342,42,132,0.318,40,108,0.37,19,31,0.613,16,113,57,23,23,39,62,225,7.9,0.444,0.429,0.55,0.129,2.3,8.1,11.5,1.5,2.6,13.3,16,90,112,-0.6,0.2,-0.5,-0.022
2025,Laeticia Amihere,GSV,F,29,0,385,52,114,0.456,3,21,0.143,49,93,0.527,49,63,0.778,35,125,27,17,13,32,36,156,18.3,0.55,0.469,0.184,0.553,10.8,19,13.3,2.4,3.6,18.4,21,105,96,0.5,1,1.5,0.156
2025,Yvonne Anderson,MIN,G,1,0,12,0,3,0,0,1,0,0,2,0,0,0,,0,1,2,2,0,0,3,0,1.2,0,0,0.333,0,0,5,20.8,8.7,0,0,11.5,44,88,-0.1,0,0,-0.034
2025,Ariel Atkins,CHI,G,34,34,970,162,365,0.444,43,119,0.361,119,246,0.484,80,93,0.86,23,114,122,53,24,84,102,447,16,0.551,0.503,0.326,0.255,2.8,6.9,23.5,2.8,2.3,17.1,22.7,103,110,1.1,0.5,1.6,0.065
2025,Shakira Austin,WAS,C,38,30,874,191,411,0.465,2,15,0.133,189,396,0.477,97,146,0.664,57,242,68,41,43,92,81,481,18.4,0.506,0.467,0.036,0.355,8,17,16.3,2.4,4.7,16.2,29.9,93,100,-0.8,1.8,1.1,0.049
2025,Marième Badiane,MIN,C,3,0,11,0,3,0,0,1,0,0,2,0,0,0,,1,1,0,2,0,2,6,0,-18.2,0,0,0.333,0,11.1,5.4,0,9.5,0,40,20.9,15,89,-0.1,0,-0.1,-0.367
2025,Rachel Banham,CHI,G,44,33,1081,129,338,0.382,86,241,0.357,43,97,0.443,52,59,0.881,6,74,119,26,11,71,84,396,10.6,0.544,0.509,0.713,0.175,0.7,4,18.9,1.3,1,16.3,18.1,103,116,0.9,-0.3,0.5,0.02
2025,Sarah Ashlee Barker,LAS,G,34,8,481,35,104,0.337,18,61,0.295,17,43,0.395,17,24,0.708,10,66,31,11,4,37,45,105,4.1,0.458,0.423,0.587,0.231,2.5,8.2,9.4,1.2,0.8,24.4,14.1,81,113,-0.8,0,-0.8,-0.064
2025,Kierstan Bell,LVA,F,35,16,427,52,154,0.338,30,103,0.291,22,51,0.431,12,15,0.8,20,62,23,14,11,17,30,146,10.3,0.455,0.435,0.669,0.097,5.4,8.5,8.7,1.7,2.3,9.6,19,95,106,-0.1,0.5,0.3,0.031
2025,Monique Billings,GSV,F,26,8,474,72,151,0.477,10,36,0.278,62,115,0.539,36,53,0.679,37,116,14,16,21,21,44,190,16.9,0.545,0.51,0.238,0.351,9.3,14.3,5.8,1.8,4.7,10.8,19.2,108,99,0.7,1,1.7,0.145
2025,Aliyah Boston,IND,C-F,44,44,1327,271,504,0.538,6,29,0.207,265,475,0.558,112,147,0.762,107,361,163,52,41,81,136,660,22.8,0.58,0.544,0.058,0.292,9.6,16.5,21.3,2,2.8,12.5,21.9,118,101,4.6,2.5,7.1,0.215
2025,Crystal Bradford,LVA,F,4,0,24,2,6,0.333,0,2,0,2,4,0.5,0,0,,2,5,1,2,0,1,3,4,7,0.333,0.333,0.333,0,9.7,12.2,6.3,4.3,0,14.3,13.3,80,101,0,0,0,0.007
2025,Cameron Brink,LAS,F,19,0,244,35,82,0.427,10,34,0.294,25,48,0.521,16,21,0.762,26,82,9,10,26,25,48,96,15.3,0.526,0.488,0.415,0.256,13,20.1,6,2.1,9.8,21.5,21.3,94,102,-0.1,0.4,0.3,0.055
2025,Jaelyn Brown,CON,G-F,10,0,131,14,37,0.378,8,18,0.444,6,19,0.316,1,2,0.5,4,12,1,5,2,5,17,37,6.3,0.488,0.486,0.486,0.054,3.5,5.5,1.3,2,1.5,11.7,14.9,90,114,-0.1,0,-0.1,-0.027
2025,Kalani Brown,PHO,C,29,1,370,59,96,0.615,3,8,0.375,56,88,0.636,27,35,0.771,36,117,16,7,18,23,46,148,18.8,0.664,0.63,0.083,0.365,10.9,18.1,7.4,1,4.6,17.1,16.3,119,100,1,0.7,1.7,0.187
2025,Lexie Brown,SEA,G,24,0,227,17,48,0.354,10,37,0.27,7,11,0.636,7,10,0.7,2,17,23,9,1,6,20,51,8.5,0.487,0.458,0.771,0.208,1,4.5,14.5,2,0.4,10.3,11.8,103,106,0.1,0.3,0.4,0.069
2025,Paige Bueckers,DAL,G,36,36,1199,259,543,0.477,39,118,0.331,220,425,0.518,135,152,0.888,25,142,194,57,18,72,82,692,22.1,0.567,0.513,0.217,0.28,2.3,6.8,30.2,2.4,1.4,10.6,24.7,115,112,4,0.4,4.4,0.147
2025,Kennedy Burke,NYL,G-F,36,9,779,102,218,0.468,46,111,0.414,56,107,0.523,41,54,0.759,21,85,45,28,16,34,47,291,13.9,0.602,0.573,0.509,0.248,3.3,6.3,9.5,1.8,1.9,12.3,16.4,110,106,1.2,0.9,2.1,0.109
2025,Rae Burrell,LAS,G-F,28,1,515,77,178,0.433,22,67,0.328,55,111,0.495,35,47,0.745,18,65,34,16,6,25,36,211,13,0.531,0.494,0.376,0.264,4.3,7.6,10.8,1.6,1.1,11.2,19.4,104,113,0.5,0,0.6,0.045
2025,Veronica Burton,GSV,G,44,44,1292,149,385,0.387,61,177,0.345,88,208,0.423,166,189,0.878,50,192,265,50,27,94,103,525,19.3,0.561,0.466,0.46,0.491,4.6,8.7,37.6,2.1,2.2,16.7,20.3,117,102,4.2,2.2,6.4,0.198
2025,Maya Caldwell,ATL,G,41,16,760,83,195,0.426,39,110,0.355,44,85,0.518,16,20,0.8,33,127,74,37,7,40,65,221,12.7,0.542,0.526,0.564,0.103,5.2,9.9,15.2,2.6,0.8,16.4,14.7,107,100,0.8,1.5,2.4,0.125
2025,Jordin Canada,ATL,G,28,26,783,108,273,0.396,25,86,0.291,83,187,0.444,73,96,0.76,8,91,159,48,9,62,46,314,16.5,0.498,0.441,0.315,0.352,1.2,6.9,33.2,3.2,1,16.4,22.1,104,99,0.9,1.7,2.6,0.135
2025,Emma Cannon,LAS,F,21,0,213,32,63,0.508,14,36,0.389,18,27,0.667,15,23,0.652,11,38,8,10,1,16,36,93,13.6,0.636,0.619,0.571,0.365,6.3,10.7,6.2,2.4,0.4,18,18.7,107,110,0.3,0.1,0.4,0.076
2025,Kamilla Cardoso,CHI,C,40,39,1102,223,422,0.528,1,2,0.5,222,420,0.529,96,133,0.722,118,341,98,14,47,97,113,543,19.8,0.565,0.53,0.005,0.315,12.7,18.2,17.8,0.7,4,16.8,23.5,107,110,1.9,0.6,2.5,0.091
2025,Bridget Carleton,MIN,F,44,44,1227,102,254,0.402,63,169,0.373,39,85,0.459,18,25,0.72,39,158,89,37,12,33,83,285,10,0.538,0.526,0.665,0.098,3.9,7.7,10.1,1.6,0.9,11.1,11.2,112,104,1.6,1.8,3.4,0.11
2025,Tina Charles,CON,C,43,42,1222,260,593,0.438,12,46,0.261,248,547,0.453,168,196,0.857,62,248,74,33,19,82,89,700,17.7,0.515,0.449,0.078,0.331,5.8,12.1,12.7,1.4,1.5,10.8,28.3,102,112,1.1,0.3,1.5,0.048
2025,Kaitlyn Chen,GSV,G,24,0,247,19,50,0.38,5,15,0.333,14,35,0.4,5,7,0.714,5,22,24,5,0,18,16,48,4.6,0.452,0.43,0.3,0.14,2.4,5.2,16.6,1.1,0,25.3,13.4,85,108,-0.3,0.2,-0.1,-0.015
