player_id,player_name,player_name_key,season,player_team,position_full,position,jersey_number,player_age,age_2026,player_height_raw,height_inches,weight_lbs,player_college,player_country,gp_2025,pts_2025,reb_2025,ast_2025,net_rtg_2025,oreb_pct,dreb_pct,usage_pct_bio,ts_pct_bio,ast_pct_bio
1642286,Caitlin Clark,caitlinclark,2025,IND,Guard,G,22,24.0,25.0,6-0,72.0,157.0,Iowa,USA,13.0,16.5,5.0,8.8,9.1,0.003,0.142,0.287,0.491,0.418
1642287,Cameron Brink,cameronbrink,2025,LAS,Forward,F,22,24.0,25.0,6-4,76.0,170.0,Stanford,USA,19.0,5.1,4.3,0.5,-11.9,0.102,0.204,0.198,0.526,0.068
,Camryn Taylor,camryntaylor,2025,MIN,Forward,F,20,26.0,27.0,6-1,73.0,190.0,Virginia,USA,6.0,0.5,1.0,0.2,8.2,0.087,0.2,0.193,0.19,0.063
1642304,Carla Leite,carlaleite,2025,GSV,Guard,G,0,22.0,23.0,5-9,69.0,,,France,37.0,7.2,1.3,2.0,5.7,0.015,0.0579999999999999,0.223,0.505,0.23
1628508,Cecilia Zandalasini,ceciliazandalasini,2025,GSV,Forward,F,24,30.0,31.0,6-2,74.0,175.0,,Italy,19.0,10.5,2.9,1.7,5.6,0.012,0.1159999999999999,0.195,0.606,0.139
203833,Chelsea Gray,chelseagray,2025,LVA,Guard,G,12,33.0,34.0,5-11,71.0,170.0,Duke,USA,44.0,11.2,3.9,5.4,7.0,0.019,0.107,0.175,0.5720000000000001,0.267
204323,Cheyenne Parker-Tyus,cheyenneparkertyus,2025,LVA,Forward,F,32,33.0,34.0,6-4,76.0,193.0,Middle Tennessee,USA,2.0,8.0,1.0,0.0,-0.4,0.0,0.1669999999999999,0.353,0.752,0.0
1631064,Chloe Bibby,chloebibby,2025,IND,Forward,F,55,27.0,28.0,6-2,74.0,194.0,Maryland,Australia,14.0,4.8,1.8,0.5,2.7,0.032,0.133,0.172,0.568,0.074
,Christyn Williams,christynwilliams,2025,DAL,Guard,G,31,25.0,26.0,5-11,71.0,174.0,Connecticut,USA,4.0,4.3,1.0,0.8,-61.7,0.0409999999999999,0.063,0.1939999999999999,0.456,0.143
202664,Courtney Vandersloot,courtneyvandersloot,2025,CHI,Guard,G,22,37.0,38.0,5-8,68.0,137.0,Gonzaga,USA,7.0,10.6,3.1,5.3,-18.8,0.009,0.106,0.178,0.516,0.325
1627675,Courtney Williams,courtneywilliams,2025,MIN,Guard,G,10,31.0,32.0,5-8,68.0,148.0,South Florida,USA,44.0,13.6,4.9,6.2,13.0,0.019,0.152,0.249,0.496,0.351
,Crystal Bradford,crystalbradford,2025,LVA,Forward,F,TBD,32.0,33.0,6-0,72.0,170.0,Central Michigan,USA,4.0,1.0,1.3,0.3,-31.9,0.077,0.136,0.121,0.3329999999999999,0.067
203024,Damiris Dantas,damirisdantas,2025,IND,,,,33.0,34.0,6-4,76.0,214.0,,Brazil,38.0,4.6,2.4,0.7,-5.0,0.059,0.156,0.209,0.4529999999999999,0.0969999999999999
1630389,Dana Evans,danaevans,2025,LVA,Guard,G,11,27.0,28.0,5-6,66.0,145.0,Louisville,USA,44.0,6.6,1.1,2.2,-2.9,0.01,0.051,0.191,0.488,0.2269999999999999
201886,DeWanna Bonner,dewannabonner,2025,PHX,,,,38.0,39.0,6-4,76.0,140.0,Auburn,USA,33.0,9.8,4.2,1.2,-0.7,0.037,0.136,0.181,0.551,0.086
204324,Dearica Hamby,dearicahamby,2025,LAS,Forward,F,5,32.0,33.0,6-3,75.0,189.0,Wake Forest,USA,44.0,18.4,7.9,3.3,0.4,0.087,0.174,0.246,0.605,0.188
1630096,DiJonai Carrington,dijonaicarrington,2025,MIN,,,,28.0,29.0,5-11,71.0,175.0,Baylor,USA,31.0,9.8,4.0,1.5,-7.5,0.068,0.1159999999999999,0.231,0.484,0.119
1641649,Diamond Miller,diamondmiller,2025,DAL,Forward,F,1,25.0,26.0,6-3,75.0,178.0,Maryland,USA,40.0,4.0,1.3,0.8,-11.3,0.024,0.096,0.178,0.519,0.1169999999999999
1642798,Dominique Malonga,dominiquemalonga,2025,SEA,Center,C,14,20.0,21.0,6-6,78.0,,,France,42.0,7.7,4.6,0.9,-1.3,0.091,0.241,0.239,0.5660000000000001,0.11
,Elizabeth Kitley,elizabethkitley,2025,LVA,Center,C,TBD,24.0,25.0,6-6,78.0,,Virginia Tech,USA,12.0,1.3,1.4,0.1,-25.0,0.043,0.149,0.142,0.314,0.02
204322,Elizabeth Williams,elizabethwilliams,2025,CHI,,,,32.0,33.0,6-3,75.0,200.0,Duke,USA,43.0,8.5,5.2,1.8,-10.7,0.089,0.154,0.201,0.502,0.165
1631083,Emily Engstler,emilyengstler,2025,WAS,Forward,F,21,26.0,27.0,6-1,73.0,180.0,Louisville,USA,40.0,3.7,3.3,1.5,-8.7,0.076,0.186,0.157,0.487,0.191
1628242,Emma Cannon,emmacannon,2025,LAS,Forward,F,32,36.0,37.0,6-2,74.0,190.0,Florida Southern,USA,21.0,4.4,1.8,0.4,-3.6,0.057,0.126,0.178,0.636,0.069
