player_id,player_name,team_id,season,season_type,games_played,games_started,minutes,mpg,points,ppg,rebounds,rpg,assists,apg,steals,spg,blocks,bpg,turnovers,tov_pg,fgm,fga,fg_pct,three_pm,three_pa,three_pct,ftm,fta,ft_pct
1627668,Breanna Stewart,1611661313,2023,Playoffs,10,,380.0,38.0,184.0,18.4,102.0,10.2,31.0,3.1,11.0,1.1,19.0,1.9,21.0,2.1,67.0,187.0,0.358289,9.0,46.0,0.195652,41.0,47.0,0.87234
204335,Betnijah Laney,1611661313,2023,Playoffs,10,,361.0,36.1,152.0,15.2,41.0,4.1,30.0,3.0,8.0,0.8,,,20.0,2.0,61.0,129.0,0.472868,19.0,52.0,0.365385,11.0,15.0,0.733333
1629477,Sabrina Ionescu,1611661313,2023,Playoffs,10,,351.0,35.1,137.0,13.7,42.0,4.2,47.0,4.7,8.0,0.8,7.0,0.7,17.0,1.7,44.0,112.0,0.392857,28.0,70.0,0.4,21.0,23.0,0.913043
1627673,Jonquel Jones,1611661313,2023,Playoffs,10,,347.0,34.7,170.0,17.0,116.0,11.6,17.0,1.7,7.0,0.7,24.0,2.4,20.0,2.0,62.0,111.0,0.558559,9.0,28.0,0.321429,37.0,47.0,0.787234
1628276,Kelsey Plum,1611661319,2023,Playoffs,9,,331.0,36.777778,165.0,18.333333,29.0,3.222222,34.0,3.777778,12.0,1.333333,,,28.0,3.111111,55.0,132.0,0.416667,27.0,67.0,0.402985,28.0,32.0,0.875
202664,Courtney Vandersloot,1611661313,2023,Playoffs,10,,326.0,32.6,106.0,10.6,39.0,3.9,63.0,6.3,13.0,1.3,7.0,0.7,28.0,2.8,42.0,100.0,0.42,14.0,37.0,0.378378,8.0,10.0,0.8
1629498,Jackie Young,1611661319,2023,Playoffs,9,,313.0,34.777778,150.0,16.666667,50.0,5.555556,45.0,5.0,14.0,1.555556,1.0,0.111111,11.0,1.222222,48.0,114.0,0.421053,22.0,53.0,0.415094,32.0,35.0,0.914286
1628932,A'ja Wilson,1611661319,2023,Playoffs,9,,299.0,33.222222,214.0,23.777778,106.0,11.777778,11.0,1.222222,13.0,1.444444,21.0,2.333333,19.0,2.111111,82.0,148.0,0.554054,1.0,2.0,0.5,49.0,59.0,0.830508
203833,Chelsea Gray,1611661319,2023,Playoffs,8,,287.0,35.875,125.0,15.625,38.0,4.75,54.0,6.75,12.0,1.5,8.0,1.0,24.0,3.0,48.0,110.0,0.436364,11.0,31.0,0.354839,18.0,18.0,1.0
203826,Alyssa Thomas,1611661323,2023,Playoffs,7,,272.0,38.857143,127.0,18.142857,56.0,8.0,72.0,10.285714,12.0,1.714286,2.0,0.285714,19.0,2.714286,55.0,110.0,0.5,,2.0,,17.0,27.0,0.62963
201886,DeWanna Bonner,1611661323,2023,Playoffs,7,,258.0,36.857143,127.0,18.142857,58.0,8.285714,24.0,3.428571,7.0,1.0,11.0,1.571429,11.0,1.571429,42.0,109.0,0.385321,19.0,52.0,0.365385,24.0,31.0,0.774194
202252,Alysha Clark,1611661319,2023,Playoffs,9,,217.0,24.111111,74.0,8.222222,40.0,4.444444,12.0,1.333333,3.0,0.333333,1.0,0.111111,9.0,1.0,27.0,51.0,0.529412,7.0,22.0,0.318182,13.0,14.0,0.928571
204329,Kiah Stokes,1611661319,2023,Playoffs,8,,209.0,26.125,22.0,2.75,63.0,7.875,10.0,1.25,8.0,1.0,2.0,0.25,6.0,0.75,9.0,16.0,0.5625,2.0,4.0,0.5,2.0,2.0,1.0
1629481,Arike Ogunbowale,1611661321,2023,Playoffs,5,,189.0,37.8,98.0,19.6,24.0,4.8,26.0,5.2,8.0,1.6,,,7.0,1.4,38.0,98.0,0.387755,13.0,37.0,0.351351,9.0,14.0,0.642857
203026,Tiffany Hayes,1611661323,2023,Playoffs,7,,186.0,26.571429,100.0,14.285714,24.0,3.428571,11.0,1.571429,4.0,0.571429,2.0,0.285714,7.0,1.0,39.0,74.0,0.527027,15.0,31.0,0.483871,7.0,8.0,0.875
204296,Rebecca Allen,1611661323,2023,Playoffs,6,,185.0,30.833333,58.0,9.666667,33.0,5.5,10.0,1.666667,9.0,1.5,9.0,1.5,6.0,1.0,23.0,47.0,0.489362,11.0,26.0,0.423077,1.0,1.0,1.0
203827,Natasha Howard,1611661321,2023,Playoffs,5,,171.0,34.2,60.0,12.0,42.0,8.4,11.0,2.2,8.0,1.6,7.0,1.4,17.0,3.4,24.0,66.0,0.363636,7.0,20.0,0.35,5.0,6.0,0.833333
1630149,Satou Sabally,1611661321,2023,Playoffs,5,,168.0,33.6,79.0,15.8,26.0,5.2,21.0,4.2,7.0,1.4,6.0,1.2,15.0,3.0,28.0,78.0,0.358974,9.0,23.0,0.391304,14.0,18.0,0.777778
