player_id,player_id_source,player_name,player_name_key,team_id,team_id_source,team_abbreviation,team_name,team_slug,season,salary,cap_hit,salary_as_pct_cap,pct_team,salary_tier,contract_icon,contract_icon_source,source_quality,option_flag,tc_flag,draftee_flag,buyout_flag,protected_veteran_flag,protected_rookie_scale_flag,unprotected_flag,status,status_full,next_status,core_years,row_section,counts_toward_salary_total,counts_toward_player_total,counts_toward_guaranteed_salary,counts_toward_protected_veteran_total,guaranteed_salary,source_url,source_name,notes
player:madina_okot__atlanta_dream,synthetic_name,Madina Okot,madinaokot,1611661330,pbpstats_catalog,ATL,Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,2026,289133.0,289133.0,0.041305,0.048547,Minimum / Training Camp / Draftee Band,"Excluded from totals: likely TC/D, exact icon missing",not_available_from_prior_csv,prior_csv_inferred,False,True,False,False,False,False,False,Signed,Signed,Signed,,current_roster,True,True,False,False,,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b/,Her Hoop Stats WNBA Salary Cap Database,
player:maite_cazorla__atlanta_dream,synthetic_name,Maite Cazorla,maitecazorla,1611661330,pbpstats_catalog,ATL,Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,2026,277500.0,277500.0,0.039643,0.046594,Minimum / Training Camp / Draftee Band,"Excluded from totals: likely TC/D, exact icon missing",not_available_from_prior_csv,prior_csv_inferred,False,True,False,False,False,False,False,,,Reserved,,current_roster,False,False,False,False,,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b/,Her Hoop Stats WNBA Salary Cap Database,
1631044,team_roster_history,Naz Hillmon,nazhillmon,1611661330,pbpstats_catalog,ATL,Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,2026,840000.0,840000.0,0.12,0.141042,High/Mid Starter,Protected Veteran (solved from team totals),solved_from_guaranteed_and_protected_veteran_totals,prior_csv_inferred,False,False,False,False,True,False,False,Signed,Signed,Signed,,current_roster,True,True,True,True,840000.0,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b/,Her Hoop Stats WNBA Salary Cap Database,
1631009,team_roster_history,Rhyne Howard,rhynehoward,1611661330,pbpstats_catalog,ATL,Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,2026,1100000.0,1100000.0,0.157143,0.184697,Premium Starter,Protected Veteran (solved from team totals),solved_from_guaranteed_and_protected_veteran_totals,prior_csv_inferred,False,False,False,False,True,False,False,Signed,Signed,Signed,,current_roster,True,True,True,True,1100000.0,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b/,Her Hoop Stats WNBA Salary Cap Database,
player:sacha_washington__atlanta_dream,synthetic_name,Sacha Washington,sachawashington,1611661330,pbpstats_catalog,ATL,Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,2026,270000.0,270000.0,0.038571,0.045335,Minimum / Training Camp / Draftee Band,"Excluded from totals: likely TC/D, exact icon missing",not_available_from_prior_csv,prior_csv_inferred,False,True,False,False,False,False,False,Signed,Signed,Signed,,current_roster,True,True,False,False,,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b/,Her Hoop Stats WNBA Salary Cap Database,
1631021,team_roster_history,Sika Koné,sikakon,1611661330,pbpstats_catalog,ATL,Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,2026,277500.0,277500.0,0.039643,0.046594,Minimum / Training Camp / Draftee Band,"Excluded from totals: likely TC/D, exact icon missing",not_available_from_prior_csv,prior_csv_inferred,False,True,False,False,False,False,False,,,RFA,,current_roster,False,False,False,False,,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b/,Her Hoop Stats WNBA Salary Cap Database,
player:stephanie_jones__atlanta_dream,synthetic_name,Stephanie Jones,stephaniejones,1611661330,pbpstats_catalog,ATL,Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,2026,277500.0,277500.0,0.039643,0.046594,Minimum / Training Camp / Draftee Band,"Excluded from totals: likely TC/D, exact icon missing",not_available_from_prior_csv,prior_csv_inferred,False,True,False,False,False,False,False,,,Reserved,,current_roster,False,False,False,False,,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b/,Her Hoop Stats WNBA Salary Cap Database,
1642814,team_roster_history,Taylor Thierry,taylorthierry,1611661330,pbpstats_catalog,ATL,Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,2026,277500.0,277500.0,0.039643,0.046594,Minimum / Training Camp / Draftee Band,Unprotected (solved remainder),solved_remainder_after_guaranteed_total,prior_csv_inferred,False,False,False,False,False,False,True,,,RFA,,current_roster,True,True,False,False,,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b/,Her Hoop Stats WNBA Salary Cap Database,
1642804,team_roster_history,Te-Hina Paopao,tehinapaopao,1611661330,pbpstats_catalog,ATL,Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,2026,277500.0,277500.0,0.039643,0.046594,Minimum / Training Camp / Draftee Band,Unprotected (solved remainder),solved_remainder_after_guaranteed_total,prior_csv_inferred,False,False,False,False,False,False,True,,,RFA,,current_roster,True,True,False,False,,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b/,Her Hoop Stats WNBA Salary Cap Database,
player:kejia_ran__atlanta_dream,synthetic_name,Kejia Ran,kejiaran,1611661330,pbpstats_catalog,ATL,Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,2026,270000.0,270000.0,0.038571,0.045335,Minimum / Training Camp / Draftee Band,Draftee (section inferred: Unsigned Draftees),inferred_from_unsigned_draftees_section,prior_csv_inferred,False,False,True,False,False,False,False,,,RFA,,unsigned_draftees,False,False,False,False,,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b/,Her Hoop Stats WNBA Salary Cap Database,
