player_id,player_name,playoff_games_career,playoff_starts_career,playoff_minutes_career,playoff_mpg_career,finals_games,championship_count,playoff_last_3_years_games,playoff_last_3_years_minutes,high_leverage_experience_score
100940,Diana Taurasi,2,,59.0,29.5,,,2,59.0,9.18
1627668,Breanna Stewart,24,,886.0,36.916667,,,24,886.0,113.72
1627671,Rachel Banham,3,,49.0,16.333333,,,3,49.0,12.98
1627672,Aerial Powers,9,,97.0,10.777778,,,9,97.0,37.94
1627673,Jonquel Jones,24,,795.0,33.125,,,24,795.0,111.9
1627674,Kahleah Copper,15,,504.0,33.6,,,15,504.0,70.08
1627675,Courtney Williams,20,,583.0,29.15,,,20,583.0,91.66
1627676,Tiffany Mitchell,4,,87.0,21.75,,,4,87.0,17.74
1627701,Temi Fagbenle,2,,48.0,24.0,,,2,48.0,8.96
1627701,Temi Fágbénlé,1,,0.0,0.0,,,1,0.0,4.0
1628244,Sami Whitcomb,12,,255.0,21.25,,,12,255.0,53.1
1628268,Alaina Coates,6,,11.0,1.833333,,,6,11.0,24.22
1628269,Nia Coffey,5,,38.0,7.6,,,5,38.0,20.76
1628276,Kelsey Plum,15,,529.0,35.266667,,,15,529.0,70.58
1628277,Allisha Gray,7,,238.0,34.0,,,7,238.0,32.76
1628278,Shatori Walker-Kimbrough,4,,28.0,7.0,,,4,28.0,16.56
1628279,Brittney Sykes,5,,144.0,28.8,,,5,144.0,22.88
1628280,Brionna Jones,10,,209.0,20.9,,,10,209.0,44.18
1628508,Cecilia Zandalasini,13,,147.0,11.307692,,,13,147.0,54.94
1628878,Ariel Atkins,2,,67.0,33.5,,,2,67.0,9.34
1628881,Monique Billings,6,,104.0,17.333333,,,6,104.0,26.08
1628882,Lexie Brown,1,,7.0,7.0,,,1,7.0,4.14
1628886,Jordin Canada,5,,135.0,27.0,,,5,135.0,22.7
1628899,Myisha Hines-Allen,12,,172.0,14.333333,,,12,172.0,51.44
1628909,Kelsey Mitchell,10,,338.0,33.8,,,10,338.0,46.76
1628920,Mercedes Russell,2,,46.0,23.0,,,2,46.0,8.92
1628926,Maria Kliundikova,5,,51.0,10.2,,,5,51.0,21.02
1628927,Victoria Vivians,1,,7.0,7.0,,,1,7.0,4.14
1628929,Kristy Wallace,1,,2.0,2.0,,,1,2.0,4.04
1628931,Gabby Williams,5,,165.0,33.0,,,5,165.0,23.3
1628932,A'ja Wilson,27,,950.0,35.185185,,,27,950.0,127.0
1628957,Kathryn Westbeld,11,,128.0,11.636364,,,11,128.0,46.56
1629476,Asia (AD) Durr,2,,10.0,5.0,,,2,10.0,8.2
1629477,Sabrina Ionescu,24,,848.0,35.333333,,,24,848.0,112.96
1629478,Katie Lou Samuelson,1,,5.0,5.0,,,1,5.0,4.1
1629479,Teaira McCowan,5,,152.0,30.4,,,5,152.0,23.04
1629480,Kalani Brown,8,,68.0,8.5,,,8,68.0,33.36
1629481,Arike Ogunbowale,5,,189.0,37.8,,,5,189.0,23.78
1629482,Sophie Cunningham,2,,63.0,31.5,,,2,63.0,9.26
1629483,Napheesa Collier,20,,717.0,35.85,,,20,717.0,94.34
1629484,Megan Gustafson,14,,134.0,9.571429,,,14,134.0,58.68
1629488,Brianna Turner,8,,142.0,17.75,,,8,142.0,34.84
1629490,Kitija Laksa,2,,9.0,4.5,,,2,9.0,8.18
1629491,Jessica Shepard,6,,96.0,16.0,,,6,96.0,25.92
1629496,Ezi Magbegor,4,,102.0,25.5,,,4,102.0,18.04
1629497,Marina Mabrey,9,,275.0,30.555556,,,9,275.0,41.5
1629498,Jackie Young,27,,914.0,33.851852,,,27,914.0,126.28
1629501,Alanna Smith,20,,488.0,24.4,,,20,488.0,89.76
1629524,Bridget Carleton,21,,629.0,29.952381,,,21,629.0,96.58
1629546,Marine Johannès,10,,113.0,11.3,,,10,113.0,42.26
1629567,Natisha Hiedeman,25,,428.0,17.12,,,25,428.0,108.56
1629568,Kennedy Burke,9,,97.0,10.777778,,,9,97.0,37.94
1629571,Morgan Bertsch,1,,5.0,5.0,,,1,5.0,4.1
1630096,DiJonai Carrington,15,,314.0,20.933333,,,15,314.0,66.28
1630097,Kaila Charles,2,,45.0,22.5,,,2,45.0,8.9
1630101,Crystal Dangerfield,5,,58.0,11.6,,,5,58.0,21.16
1630112,Tyasha Harris,12,,228.0,19.0,,,12,228.0,52.56
1630113,Ruthy Hebard,2,,14.0,7.0,,,2,14.0,8.28
1630114,Mikiah Herbert Harrigan,2,,3.0,1.5,,,2,3.0,8.06
1630115,Joyner Holmes,1,,2.0,2.0,,,1,2.0,4.04
1630139,Jocelyn Willoughby,3,,7.0,2.333333,,,3,7.0,12.14
1630142,Leonie Fiebich,14,,432.0,30.857143,,,14,432.0,64.64
1630149,Satou Sabally,15,,494.0,32.933333,,,15,494.0,69.88
1630151,Olivia Époupa,4,,2.0,0.5,,,4,2.0,16.04
1630386,Awak Kuier,5,,52.0,10.4,,,5,52.0,21.04
