season,season_type,team_id,player_id,player_name
2026,Regular Season,1611661313,1627668,Breanna Stewart
2026,Regular Season,1611661313,204335,Betnijah Laney-Hamilton
2026,Regular Season,1611661323,1629568,Kennedy Burke
2026,Regular Season,1611661323,203398,Brittney Griner
2025,Regular Season,1611661322,202252,Alysha Clark
2025,Regular Season,1611661322,1642292,Jacy Sheldon
2025,Regular Season,1611661330,1630154,Kamiah Smalls
2025,Regular Season,1611661330,1631021,Sika Koné
2025,Playoffs,1611661324,1629483,Napheesa Collier
2025,Playoffs,1611661324,1629524,Bridget Carleton
2025,Playoffs,1611661331,1642767,Janelle Salaün
2025,Playoffs,1611661331,1628508,Cecilia Zandalasini
2024,Regular Season,1611661324,1629524,Bridget Carleton
2024,Regular Season,1611661324,1630151,Olivia Époupa
2024,Regular Season,1611661313,1627673,Jonquel Jones
2024,Regular Season,1611661313,1629477,Sabrina Ionescu
2024,Playoffs,1611661313,1627668,Breanna Stewart
2024,Playoffs,1611661313,1630142,Leonie Fiebich
2024,Playoffs,1611661330,1631044,Naz Hillmon
2024,Playoffs,1611661330,202250,Tina Charles
2023,Regular Season,1611661325,1631086,Lexie Hull
2023,Regular Season,1611661325,1631031,Queen Egbo
2023,Regular Season,1611661323,203026,Tiffany Hayes
2023,Regular Season,1611661323,1628280,Brionna Jones
