team_name,team_abbr,rank,team_grade,value_tier,tier_order,player_count,roster_size,pct_of_roster
New York Liberty,NYL,1,A,Overvalued,0,0,7,0.0
New York Liberty,NYL,1,A,Risk,1,1,7,14.3
New York Liberty,NYL,1,A,Fair Value,2,5,7,71.4
New York Liberty,NYL,1,A,Strong Value,3,1,7,14.3
New York Liberty,NYL,1,A,Elite Value,4,0,7,0.0
Atlanta Dream,ATL,2,A,Overvalued,0,0,9,0.0
Atlanta Dream,ATL,2,A,Risk,1,2,9,22.2
Atlanta Dream,ATL,2,A,Fair Value,2,7,9,77.8
Atlanta Dream,ATL,2,A,Strong Value,3,0,9,0.0
Atlanta Dream,ATL,2,A,Elite Value,4,0,9,0.0
Los Angeles Sparks,LAS,3,A,Overvalued,0,0,7,0.0
Los Angeles Sparks,LAS,3,A,Risk,1,3,7,42.9
Los Angeles Sparks,LAS,3,A,Fair Value,2,4,7,57.1
Los Angeles Sparks,LAS,3,A,Strong Value,3,0,7,0.0
Los Angeles Sparks,LAS,3,A,Elite Value,4,0,7,0.0
Las Vegas Aces,LVA,4,B,Overvalued,0,0,7,0.0
Las Vegas Aces,LVA,4,B,Risk,1,3,7,42.9
Las Vegas Aces,LVA,4,B,Fair Value,2,3,7,42.9
Las Vegas Aces,LVA,4,B,Strong Value,3,1,7,14.3
Las Vegas Aces,LVA,4,B,Elite Value,4,0,7,0.0
Indiana Fever,IND,5,B,Overvalued,0,0,10,0.0
Indiana Fever,IND,5,B,Risk,1,4,10,40.0
Indiana Fever,IND,5,B,Fair Value,2,6,10,60.0
Indiana Fever,IND,5,B,Strong Value,3,0,10,0.0
Indiana Fever,IND,5,B,Elite Value,4,0,10,0.0
Phoenix Mercury,PHX,6,B,Overvalued,0,0,7,0.0
Phoenix Mercury,PHX,6,B,Risk,1,3,7,42.9
Phoenix Mercury,PHX,6,B,Fair Value,2,4,7,57.1
Phoenix Mercury,PHX,6,B,Strong Value,3,0,7,0.0
Phoenix Mercury,PHX,6,B,Elite Value,4,0,7,0.0
Toronto Tempo,TOR,7,C,Overvalued,0,0,8,0.0
Toronto Tempo,TOR,7,C,Risk,1,6,8,75.0
Toronto Tempo,TOR,7,C,Fair Value,2,2,8,25.0
Toronto Tempo,TOR,7,C,Strong Value,3,0,8,0.0
Toronto Tempo,TOR,7,C,Elite Value,4,0,8,0.0
Golden State Valkyries,GSV,8,C,Overvalued,0,0,10,0.0
Golden State Valkyries,GSV,8,C,Risk,1,6,10,60.0
Golden State Valkyries,GSV,8,C,Fair Value,2,4,10,40.0
Golden State Valkyries,GSV,8,C,Strong Value,3,0,10,0.0
Golden State Valkyries,GSV,8,C,Elite Value,4,0,10,0.0
Washington Mystics,WAS,9,C,Overvalued,0,0,7,0.0
Washington Mystics,WAS,9,C,Risk,1,5,7,71.4
Washington Mystics,WAS,9,C,Fair Value,2,2,7,28.6
Washington Mystics,WAS,9,C,Strong Value,3,0,7,0.0
Washington Mystics,WAS,9,C,Elite Value,4,0,7,0.0
Connecticut Sun,CON,10,D,Overvalued,0,1,8,12.5
Connecticut Sun,CON,10,D,Risk,1,4,8,50.0
Connecticut Sun,CON,10,D,Fair Value,2,3,8,37.5
Connecticut Sun,CON,10,D,Strong Value,3,0,8,0.0
Connecticut Sun,CON,10,D,Elite Value,4,0,8,0.0
Dallas Wings,DAL,11,D,Overvalued,0,1,11,9.1
Dallas Wings,DAL,11,D,Risk,1,5,11,45.5
Dallas Wings,DAL,11,D,Fair Value,2,4,11,36.4
Dallas Wings,DAL,11,D,Strong Value,3,1,11,9.1
Dallas Wings,DAL,11,D,Elite Value,4,0,11,0.0
Minnesota Lynx,MIN,12,D,Overvalued,0,0,9,0.0
Minnesota Lynx,MIN,12,D,Risk,1,5,9,55.6
Minnesota Lynx,MIN,12,D,Fair Value,2,4,9,44.4
Minnesota Lynx,MIN,12,D,Strong Value,3,0,9,0.0
Minnesota Lynx,MIN,12,D,Elite Value,4,0,9,0.0
Chicago Sky,CHI,13,F,Overvalued,0,0,12,0.0
Chicago Sky,CHI,13,F,Risk,1,7,12,58.3
Chicago Sky,CHI,13,F,Fair Value,2,5,12,41.7
Chicago Sky,CHI,13,F,Strong Value,3,0,12,0.0
Chicago Sky,CHI,13,F,Elite Value,4,0,12,0.0
Portland Fire,POR,14,F,Overvalued,0,0,10,0.0
Portland Fire,POR,14,F,Risk,1,9,10,90.0
Portland Fire,POR,14,F,Fair Value,2,1,10,10.0
Portland Fire,POR,14,F,Strong Value,3,0,10,0.0
Portland Fire,POR,14,F,Elite Value,4,0,10,0.0
Seattle Storm,SEA,15,F,Overvalued,0,1,9,11.1
Seattle Storm,SEA,15,F,Risk,1,6,9,66.7
Seattle Storm,SEA,15,F,Fair Value,2,2,9,22.2
Seattle Storm,SEA,15,F,Strong Value,3,0,9,0.0
Seattle Storm,SEA,15,F,Elite Value,4,0,9,0.0
