team_name,team_abbr,roster_size,median_value_score,mean_value_score,cap_concentration_top2_pct,total_salary,hidden_value_count,n_undervalued,n_overvalued_adj,sal_eff_median,sal_eff_std,n_guards,n_forwards,n_centers,n_pos_unknown,n_elite_value,n_strong_value,n_fair_value,n_risk,n_overvalued_tier,top_player,top_player_value_score,avg_salary_gap_pct,rank,team_grade,scatter_quadrant
New York Liberty,NYL,7,55.82,56.17,43.8,5428510.0,0,0,1,47.12,4.91,1,3,1,2,0,1,5,1,0,Jonquel Jones,66.45,0.093,1,A,Star-Dependent
Atlanta Dream,ATL,9,54.18,51.84,38.5,5955692.0,0,1,1,50.0,6.44,4,3,0,2,0,0,7,2,0,Rhyne Howard,57.76,-0.032,2,A,Efficient Stars
Los Angeles Sparks,LAS,7,53.44,49.87,39.5,5531350.0,0,0,2,45.95,9.76,3,4,0,0,0,0,4,3,0,Kelsey Plum,54.86,0.087,3,A,Efficient Stars
Las Vegas Aces,LVA,7,52.19,53.39,46.1,5612500.0,0,0,1,40.09,23.33,4,2,1,0,0,1,3,3,0,Jackie Young,65.05,0.326,4,B,Star-Dependent
Indiana Fever,IND,10,50.54,48.75,37.3,6428846.0,0,0,3,47.08,19.75,5,2,0,3,0,0,6,4,0,Aliyah Boston,57.71,0.221,5,B,Efficient Stars
Phoenix Mercury,PHX,7,50.54,49.81,50.6,4738600.0,0,1,1,44.44,20.77,2,1,0,4,0,0,4,3,0,Alyssa Thomas,59.15,0.236,6,B,Star-Dependent
Toronto Tempo,TOR,8,49.54,48.02,45.9,5206957.0,0,0,2,47.74,9.13,4,1,2,1,0,0,2,6,0,Nyara Sabally,59.52,0.105,7,C,Star-Dependent
Golden State Valkyries,GSV,10,49.04,49.23,34.2,6183510.0,0,1,4,44.11,16.69,3,3,2,2,0,0,4,6,0,Veronica Burton,61.04,0.183,8,C,Efficient Stars
Washington Mystics,WAS,7,48.42,46.76,50.1,3772900.0,0,0,3,49.1,9.61,2,2,0,3,0,0,2,5,0,Shakira Austin,54.69,0.107,9,C,Cap Trapped
Connecticut Sun,CON,8,48.22,46.61,45.9,4767448.0,0,0,3,41.24,19.66,2,3,2,1,0,0,3,4,1,Olivia Nelson-Ododa,55.67,0.388,10,D,Cap Trapped
Dallas Wings,DAL,11,47.75,49.33,35.7,6660213.0,0,2,2,50.0,12.49,5,3,0,3,0,1,4,5,1,Paige Bueckers,65.96,0.025,11,D,Distributed
Minnesota Lynx,MIN,9,47.44,50.15,42.0,6163323.0,0,1,3,46.46,8.43,2,4,0,3,0,0,4,5,0,Napheesa Collier,59.18,0.046,12,D,Cap Trapped
Chicago Sky,CHI,12,46.46,48.93,29.2,6585832.0,0,0,3,48.95,17.3,5,2,1,4,0,0,5,7,0,Kamilla Cardoso,59.97,0.123,13,F,Distributed
Portland Fire,POR,10,45.66,45.72,39.7,4260909.0,0,1,4,44.37,12.47,4,1,1,4,0,0,1,9,0,Bridget Carleton,51.3,0.103,14,F,Distributed
Seattle Storm,SEA,9,43.24,45.74,38.6,5182707.0,0,2,6,47.9,16.03,2,0,2,5,0,0,2,6,1,Natisha Hiedeman,63.9,0.132,15,F,Distributed
