player_id,season,season_type,team_id,possessions,usage_pct,ts_pct,efg_pct,ast_pct,tov_pct,ast_tov_ratio,oreb_pct,dreb_pct,reb_pct,stl_pct,blk_pct,ftr,three_par,rim_rate,midrange_rate,pts_per_40,ast_per_40,reb_per_40,stl_per_40,blk_per_40,ts_pctile_pos,usage_pctile_pos,ast_pctile_pos,tov_pctile_pos,reb_pctile_pos,stl_pctile_pos,blk_pctile_pos,production_score
1627668,2023,Playoffs,1611661313,1468,26.90951821386604,0.4401913875598086,0.3823529411764705,0.02111716621253406,0.01430517711171662,1.4761904761904763,0.01634877384196185,0.05313351498637602,0.06948228882833787,0.007493188010899182,0.012942779291553134,,,,,19.36842105263158,3.2631578947368425,10.736842105263158,1.1578947368421053,2.0,24.89,87.19,47.52,40.8,83.91,34.62,78.57,59.41
204335,2023,Playoffs,1611661313,1391,19.254658385093165,0.562962962962963,0.5465116279069767,0.021567217828900073,0.014378145219266714,1.5,0.008626887131560028,0.020848310567936738,0.029475197699496764,0.005751258087706686,,,,,,16.842105263157894,3.3240997229916895,4.542936288088643,0.8864265927977839,,62.67,49.59,48.51,41.29,26.96,23.08,,38.5
1629477,2023,Playoffs,1611661313,1350,17.729591836734695,0.5491803278688525,0.5178571428571429,0.03481481481481481,0.012592592592592593,2.764705882352941,0.002962962962962963,0.028148148148148148,0.03111111111111111,0.005925925925925926,0.005185185185185185,,,,,15.612535612535613,5.356125356125356,4.786324786324786,0.9116809116809117,0.7977207977207977,56.89,43.8,77.23,33.33,30.0,23.63,39.29,48.22
1627673,2023,Playoffs,1611661313,1326,19.973890339425587,0.6390977443609023,0.5990990990990991,0.01282051282051282,0.015082956259426848,0.85,0.030165912518853696,0.05731523378582202,0.08748114630467571,0.005279034690799397,0.01809954751131222,,,,,19.596541786743515,1.9596541786743515,13.371757925072046,0.8069164265129682,2.76657060518732,82.22,52.48,21.78,47.76,93.48,17.58,93.57,59.05
1628276,2023,Playoffs,1611661319,1312,23.577235772357724,0.5616438356164384,0.5189393939393939,0.025914634146341462,0.021341463414634148,1.2142857142857142,0.003048780487804878,0.019054878048780487,0.022103658536585365,0.009146341463414634,,,,,,19.939577039274926,4.108761329305136,3.504531722054381,1.4501510574018128,,62.22,72.73,61.39,72.14,14.35,46.7,,40.75
202664,2023,Playoffs,1611661313,1246,18.384401114206128,0.5096153846153846,0.49,0.05056179775280899,0.02247191011235955,2.25,0.0072231139646869984,0.024077046548956663,0.03130016051364366,0.01043338683788122,0.0056179775280898875,,,,,13.006134969325153,7.730061349693251,4.785276073619632,1.5950920245398772,0.8588957055214724,46.22,47.52,90.59,77.11,30.43,56.04,42.86,48.08
1629498,2023,Playoffs,1611661319,1240,20.057720057720054,0.5859375,0.5175438596491229,0.036290322580645164,0.008870967741935484,4.090909090909091,0.0024193548387096775,0.03790322580645161,0.04032258064516129,0.01129032258064516,0.0008064516129032258,,,,,19.16932907348243,5.7507987220447285,6.3897763578274756,1.7891373801916932,0.12779552715654952,70.22,56.61,78.71,17.41,50.0,63.74,0.71,57.51
1628932,2023,Playoffs,1611661319,1194,28.571428571428573,0.6184971098265896,0.5574324324324325,0.009212730318257957,0.015912897822445562,0.5789473684210527,0.023450586264656615,0.06532663316582915,0.08877721943048576,0.010887772194304857,0.017587939698492462,,,,,28.62876254180602,1.4715719063545152,14.180602006688963,1.7391304347826086,2.809364548494983,77.78,95.45,11.39,52.24,93.91,62.09,91.43,68.54
203833,2023,Playoffs,1611661319,1147,22.08398133748056,0.5254237288135594,0.4863636363636364,0.047079337401918046,0.020924149956408022,2.25,0.0026155187445510027,0.03051438535309503,0.03312990409764603,0.010462074978204011,0.006974716652136007,,,,,17.421602787456443,7.526132404181185,5.29616724738676,1.6724738675958188,1.1149825783972125,49.78,67.36,88.12,71.14,34.78,58.24,50.0,53.88
203826,2023,Playoffs,1611661323,1024,24.352331606217614,0.5204918032786885,0.5,0.0703125,0.0185546875,3.789473684210526,0.013671875,0.041015625,0.0546875,0.01171875,0.001953125,,,,,18.676470588235293,10.588235294117647,8.235294117647058,1.7647058823529413,0.29411764705882354,48.89,76.03,97.03,64.68,69.57,65.93,9.29,57.44
