player_id,season,season_type,team_id,possessions,usage_pct,ts_pct,efg_pct,ast_pct,tov_pct,ast_tov_ratio,oreb_pct,dreb_pct,reb_pct,stl_pct,blk_pct,ftr,three_par,rim_rate,midrange_rate,pts_per_40,ast_per_40,reb_per_40,stl_per_40,blk_per_40,ts_pctile_pos,usage_pctile_pos,ast_pctile_pos,tov_pctile_pos,reb_pctile_pos,stl_pctile_pos,blk_pctile_pos,production_score,position_group,ts_pctile_guard,ts_pctile_forward,ts_pctile_center,usage_pctile_guard,usage_pctile_forward,usage_pctile_center,ast_pctile_guard,ast_pctile_forward,ast_pctile_center,reb_pctile_guard,reb_pctile_forward,reb_pctile_center,stl_pctile_guard,stl_pctile_forward,stl_pctile_center,blk_pctile_guard,blk_pctile_forward,blk_pctile_center,tov_pctile_guard,tov_pctile_forward,tov_pctile_center
1627668,2023,Playoffs,1611661313,1468,26.90951821386604,0.4401913875598086,0.3823529411764705,0.021117166212534,0.0143051771117166,1.4761904761904765,0.0163487738419618,0.053133514986376,0.0694822888283378,0.0074931880108991,0.0129427792915531,,,,,19.36842105263158,3.2631578947368425,10.736842105263158,1.1578947368421053,2.0,24.89,87.19,47.52,40.8,83.91,34.62,78.57,59.41,Forward,,43.8,,,88.2,,,78.6,,,93.8,,,42.9,,,80.0,,,53.3,
204335,2023,Playoffs,1611661313,1391,19.254658385093165,0.562962962962963,0.5465116279069767,0.0215672178289,0.0143781452192667,1.5,0.00862688713156,0.0208483105679367,0.0294751976994967,0.0057512580877066,,,,,,16.842105263157894,3.324099722991689,4.542936288088643,0.8864265927977839,,62.67,49.59,48.51,41.29,26.96,23.08,,38.5,,,,,,,,,,,,,,,,,,,,,,
1629477,2023,Playoffs,1611661313,1350,17.729591836734695,0.5491803278688525,0.5178571428571429,0.0348148148148148,0.0125925925925925,2.764705882352941,0.0029629629629629,0.0281481481481481,0.0311111111111111,0.0059259259259259,0.0051851851851851,,,,,15.612535612535613,5.356125356125356,4.786324786324786,0.9116809116809116,0.7977207977207977,56.89,43.8,77.23,33.33,30.0,23.63,39.29,48.22,Guard,75.0,,,25.0,,,70.8,,,54.2,,,17.4,,,50.0,,,54.2,,
1627673,2023,Playoffs,1611661313,1326,19.973890339425587,0.6390977443609023,0.5990990990990991,0.0128205128205128,0.0150829562594268,0.85,0.0301659125188536,0.057315233785822,0.0874811463046757,0.0052790346907993,0.0180995475113122,,,,,19.596541786743515,1.9596541786743515,13.371757925072046,0.8069164265129682,2.76657060518732,82.22,52.48,21.78,47.76,93.48,17.58,93.57,59.05,Center,,,57.1,,,71.4,,,85.7,,,85.7,,,16.7,,,100.0,,,57.1
1628276,2023,Playoffs,1611661319,1312,23.577235772357724,0.5616438356164384,0.5189393939393939,0.0259146341463414,0.0213414634146341,1.2142857142857142,0.0030487804878048,0.0190548780487804,0.0221036585365853,0.0091463414634146,,,,,,19.939577039274926,4.108761329305136,3.504531722054381,1.4501510574018128,,62.22,72.73,61.39,72.14,14.35,46.7,,40.75,Guard,83.3,,,83.3,,,41.7,,,29.2,,,34.8,,,,,,33.3,,
202664,2023,Playoffs,1611661313,1246,18.384401114206128,0.5096153846153846,0.49,0.0505617977528089,0.0224719101123595,2.25,0.0072231139646869,0.0240770465489566,0.0313001605136436,0.0104333868378812,0.0056179775280898,,,,,13.006134969325151,7.730061349693251,4.785276073619632,1.5950920245398772,0.8588957055214724,46.22,47.52,90.59,77.11,30.43,56.04,42.86,48.08,Guard,54.2,,,33.3,,,95.8,,,58.3,,,47.8,,,57.1,,,20.8,,
1629498,2023,Playoffs,1611661319,1240,20.05772005772005,0.5859375,0.5175438596491229,0.0362903225806451,0.0088709677419354,4.090909090909091,0.0024193548387096,0.0379032258064516,0.0403225806451612,0.0112903225806451,0.0008064516129032,,,,,19.16932907348243,5.7507987220447285,6.389776357827476,1.7891373801916932,0.1277955271565495,70.22,56.61,78.71,17.41,50.0,63.74,0.71,57.51,Guard,91.7,,,50.0,,,75.0,,,75.0,,,60.9,,,7.1,,,87.5,,
1628932,2023,Playoffs,1611661319,1194,28.571428571428573,0.6184971098265896,0.5574324324324325,0.0092127303182579,0.0159128978224455,0.5789473684210527,0.0234505862646566,0.0653266331658291,0.0887772194304857,0.0108877721943048,0.0175879396984924,,,,,28.62876254180602,1.4715719063545152,14.180602006688964,1.7391304347826086,2.809364548494983,77.78,95.45,11.39,52.24,93.91,62.09,91.43,68.54,Center,,,42.9,,,100.0,,,28.6,,,100.0,,,50.0,,,85.7,,,42.9
203833,2023,Playoffs,1611661319,1147,22.08398133748056,0.5254237288135594,0.4863636363636364,0.047079337401918,0.020924149956408,2.25,0.002615518744551,0.030514385353095,0.033129904097646,0.010462074978204,0.006974716652136,,,,,17.421602787456443,7.526132404181185,5.29616724738676,1.6724738675958188,1.1149825783972125,49.78,67.36,88.12,71.14,34.78,58.24,50.0,53.88,Guard,58.3,,,70.8,,,83.3,,,66.7,,,52.2,,,64.3,,,37.5,,
203826,2023,Playoffs,1611661323,1024,24.35233160621761,0.5204918032786885,0.5,0.0703125,0.0185546875,3.789473684210526,0.013671875,0.041015625,0.0546875,0.01171875,0.001953125,,,,,18.676470588235293,10.588235294117649,8.235294117647058,1.7647058823529411,0.2941176470588235,48.89,76.03,97.03,64.68,69.57,65.93,9.29,57.44,Forward,,56.2,,,76.5,,,100.0,,,62.5,,,78.6,,,20.0,,,20.0,
