player_name,player_id,player_id_source,pbpstats_player_id,espn_wehoop_player_id,espn_athlete_id,team_2026,team_2026_abbr,parquet_team_display_name,parquet_team_abbreviation,position_abbreviation,position,position_full,height_raw_source,height_inches,height_ft_in,age_2026,player_college,player_country,date_of_birth,parquet_status_name,parquet_status_type,bio_match_method,parquet_name_match_flag,parquet_match_method,parquet_team_crosscheck_flag,synthetic_id_flag,team_changed_from_bio_flag,missing_age_flag,missing_height_flag,missing_position_flag,name_alias_flag,notes
Bella Fontleroy,player:bella_fontleroy__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Holly Winterburn,player:holly_winterburn__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Laila Phelia,player:laila_phelia__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Lorela Cubaj,1631032,team_roster_history,1631032,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Maite Cazorla,player:maite_cazorla__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Sacha Washington,player:sacha_washington__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Stephanie Jones,player:stephanie_jones__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Taylor Thierry,1642814,team_roster_history,1642814,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Jordan Hobbs,player:jordan_hobbs__chicago_sky,synthetic_name,,,,Chicago Sky,CHI,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Latasha Lattimore,player:latasha_lattimore__chicago_sky,synthetic_name,,,,Chicago Sky,CHI,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Megan Nestor,player:megan_nestor__chicago_sky,synthetic_name,,,,Chicago Sky,CHI,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Tonie Morgan,player:tonie_morgan__chicago_sky,synthetic_name,,,,Chicago Sky,CHI,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Bria Hartley,203829,team_roster_history,203829,,,Connecticut Sun,CON,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Diamond DeShields,1628890,team_roster_history,1628890,,,Connecticut Sun,CON,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Haley Peters,203863,team_roster_history,203863,,,Connecticut Sun,CON,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Harmoni Turner,player:harmoni_turner__connecticut_sun,synthetic_name,,,,Connecticut Sun,CON,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Kyla Oldacre,player:kyla_oldacre__connecticut_sun,synthetic_name,,,,Connecticut Sun,CON,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Madison Hayes,player:madison_hayes__connecticut_sun,synthetic_name,,,,Connecticut Sun,CON,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Mamignan Touré,1642841,team_roster_history,1642841,,,Connecticut Sun,CON,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Taylor Bigby,player:taylor_bigby__connecticut_sun,synthetic_name,,,,Connecticut Sun,CON,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Tina Charles,202250,team_roster_history,202250,,,Connecticut Sun,CON,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Amy Okonkwo,1629539,team_roster_history,1629539,,,Dallas Wings,DAL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Grace Berger,1641658,team_roster_history,1641658,,,Dallas Wings,DAL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Lindsay Allen,1628263,team_roster_history,1628263,,,Dallas Wings,DAL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Lou Lopez Sénéchal,1641661,team_roster_history,1641661,,,Dallas Wings,DAL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Rayah Marshall,1642796,team_roster_history,1642796,,,Dallas Wings,DAL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Caroline Ducharme,player:caroline_ducharme__golden_state_valkyries,synthetic_name,,,,Golden State Valkyries,GSV,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Cate Reese,player:cate_reese__golden_state_valkyries,synthetic_name,,,,Golden State Valkyries,GSV,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Aari McDonald,1630462,team_roster_history,1630462,,,Indiana Fever,IND,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Jessica Timmons,player:jessica_timmons__indiana_fever,synthetic_name,,,,Indiana Fever,IND,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Kayana Traylor,1641672,team_roster_history,1641672,,,Indiana Fever,IND,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Megan McConnell,1642799,team_roster_history,1642799,,,Indiana Fever,IND,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Sydney Colson,202641,team_roster_history,202641,,,Indiana Fever,IND,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Jordan Obi,player:jordan_obi__las_vegas_aces,synthetic_name,,,,Las Vegas Aces,LVA,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Alissa Pili,1642293,team_roster_history,1642293,,,Los Angeles Sparks,LAS,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Sevgi Uzun,1642244,team_roster_history,1642244,,,Los Angeles Sparks,LAS,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Amaya Battle,player:amaya_battle__minnesota_lynx,synthetic_name,,,,Minnesota Lynx,MIN,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Jade Masogayo,player:jade_masogayo__minnesota_lynx,synthetic_name,,,,Minnesota Lynx,MIN,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Jaylyn Sherrod,1642320,team_roster_history,1642320,,,Minnesota Lynx,MIN,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Lani White,player:lani_white__minnesota_lynx,synthetic_name,,,,Minnesota Lynx,MIN,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Ra Shaya Kyle,player:ra_shaya_kyle__minnesota_lynx,synthetic_name,,,,Minnesota Lynx,MIN,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Reigan Richardson,player:reigan_richardson__minnesota_lynx,synthetic_name,,,,Minnesota Lynx,MIN,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Sakima Walker,player:sakima_walker__minnesota_lynx,synthetic_name,,,,Minnesota Lynx,MIN,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Saylor Poffenbarger,player:saylor_poffenbarger__minnesota_lynx,synthetic_name,,,,Minnesota Lynx,MIN,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Alex Fowler,player:alex_fowler__new_york_liberty,synthetic_name,,,,New York Liberty,NYL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Ashley Owusu,player:ashley_owusu__new_york_liberty,synthetic_name,,,,New York Liberty,NYL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Derin Erdogan,player:derin_erdogan__new_york_liberty,synthetic_name,,,,New York Liberty,NYL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
DiDi Richards,1630459,team_roster_history,1630459,,,New York Liberty,NYL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Emma Meesseman,203416,team_roster_history,203416,,,New York Liberty,NYL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Ny'Ceara Pryor,player:ny_ceara_pryor__new_york_liberty,synthetic_name,,,,New York Liberty,NYL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Seehia Ridard,player:seehia_ridard__new_york_liberty,synthetic_name,,,,New York Liberty,NYL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Ugonne Onyiah,player:ugonne_onyiah__new_york_liberty,synthetic_name,,,,New York Liberty,NYL,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Helena Pueyo,player:helena_pueyo__phoenix_mercury,synthetic_name,,,,Phoenix Mercury,PHX,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Jillian Alleyne,player:jillian_alleyne__phoenix_mercury,synthetic_name,,,,Phoenix Mercury,PHX,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Julia Ayrault,player:julia_ayrault__phoenix_mercury,synthetic_name,,,,Phoenix Mercury,PHX,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Kalani Brown,1629480,team_roster_history,1629480,,,Phoenix Mercury,PHX,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Kara Dunn,player:kara_dunn__phoenix_mercury,synthetic_name,,,,Phoenix Mercury,PHX,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Kathryn Westbeld,1628957,team_roster_history,1628957,,,Phoenix Mercury,PHX,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Klara Lundquist,player:klara_lundquist__phoenix_mercury,synthetic_name,,,,Phoenix Mercury,PHX,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Lauren Jensen,player:lauren_jensen__phoenix_mercury,synthetic_name,,,,Phoenix Mercury,PHX,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Lee Seul Kang,player:lee_seul_kang__phoenix_mercury,synthetic_name,,,,Phoenix Mercury,PHX,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Morgan Maly,player:morgan_maly__phoenix_mercury,synthetic_name,,,,Phoenix Mercury,PHX,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Quionche Carter,player:quionche_carter__phoenix_mercury,synthetic_name,,,,Phoenix Mercury,PHX,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Chloe Bibby,1631064,team_roster_history,1631064,,,Portland Fire,POR,,,,,,,,,,,,,,,unmatched,False,unmatched,False,False,False,True,True,True,False,missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Jordan Harrison,player:jordan_harrison__portland_fire,synthetic_name,,,,Portland Fire,POR,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
Nika Muhl,player:nika_muhl__portland_fire,synthetic_name,,,,Portland Fire,POR,,,,,,,,,,,,,,,unmatched,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_parquet_name_match; missing_height_after_parquet_name_match; missing_position_after_parquet_name_match
