player_name,player_id,player_id_source,pbpstats_player_id,espn_wehoop_player_id,espn_athlete_id,team_2026,team_2026_abbr,parquet_team_display_name,parquet_team_abbreviation,position_abbreviation,position,position_full,height_raw_source,height_inches,height_ft_in,age_2026,player_college,player_country,date_of_birth,parquet_status_name,parquet_status_type,bio_match_method,age_match_method,parquet_name_match_flag,raw_position_name_match_flag,wbb_box_name_match_flag,player_bios_2025_age_match_flag,raw_age_name_match_flag,parquet_match_method,parquet_team_crosscheck_flag,synthetic_id_flag,team_changed_from_bio_flag,missing_age_flag,missing_height_flag,missing_position_flag,name_alias_flag,notes
Holly Winterburn,player:holly_winterburn__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Lorela Cubaj,1631032,team_roster_history,1631032,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,False,False,True,True,True,False,missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Maite Cazorla,player:maite_cazorla__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Stephanie Jones,player:stephanie_jones__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Megan Nestor,player:megan_nestor__chicago_sky,synthetic_name,,,,Chicago Sky,CHI,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Diamond DeShields,1628890,team_roster_history,1628890,,,Connecticut Sun,CON,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,False,False,True,True,True,False,missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Lou Lopez Sénéchal,1641661,team_roster_history,1641661,,,Dallas Wings,DAL,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,False,False,True,True,True,False,missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Cate Reese,player:cate_reese__golden_state_valkyries,synthetic_name,,,,Golden State Valkyries,GSV,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Kayana Traylor,1641672,team_roster_history,1641672,,,Indiana Fever,IND,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,False,False,True,True,True,False,missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Alex Fowler,player:alex_fowler__new_york_liberty,synthetic_name,,,,New York Liberty,NYL,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
