pick_number,expansion_team,player_id,player_name,previous_team,position_group,age_2026,years_service,salary_2026,protected_status,archetype,selection_signal
1,Dallas Wings,draft:azzi_fudd,Azzi Fudd,Dallas Wings,,,1,500000.0,signed_in_feed_not_final_preseason,,The Dallas Wings drafted Azzi Fudd in the 1st round (1st pick) of the 2026 WNBA Draft.
2,Minnesota Lynx,draft:olivia_miles,Olivia Miles,Minnesota Lynx,,,1,466913.0,drafted_no_signing_in_current_feed,,The Minnesota Lynx drafted Olivia Miles in the 1st round (2nd pick) of the 2026 WNBA Draft.
3,Seattle Storm,draft:awa_fam,Awa Fam,Seattle Storm,,,1,436016.0,drafted_no_signing_in_current_feed,,The Seattle Storm drafted Awa Fam in the 1st round (3rd pick) of the 2026 WNBA Draft.
4,Washington Mystics,draft:lauren_betts,Lauren Betts,Washington Mystics,,,1,407163.0,drafted_no_signing_in_current_feed,,The Washington Mystics drafted Lauren Betts in the 1st round (4th pick) of the 2026 WNBA Draft.
5,Chicago Sky,draft:gabriela_jaquez,Gabriela Jaquez,Chicago Sky,,,1,380219.0,drafted_no_signing_in_current_feed,,The Chicago Sky drafted Gabriela Jaquez in the 1st round (5th pick) of the 2026 WNBA Draft.
6,Toronto Tempo,draft:kiki_rice,Kiki Rice,Toronto Tempo,,,1,355058.0,signed_in_feed_not_final_preseason,,The Toronto Tempo drafted Kiki Rice in the 1st round (6th pick) of the 2026 WNBA Draft.
7,Portland Fire,draft:iyana_mart_n,Iyana Martín,Portland Fire,,,1,,drafted_no_signing_in_current_feed,,The Portland Fire drafted Iyana Martín in the 1st round (7th pick) of the 2026 WNBA Draft.
8,Golden State Valkyries,draft:flau_jae_johnson,Flau'jae Johnson,Seattle Storm,,,1,309622.0,traded_in_feed_no_signing_found,,The Golden State Valkyries drafted Flau'jae Johnson in the 1st round (8th pick) of the 2026 WNBA Draft.
9,Washington Mystics,draft:angela_dugali,Angela Dugalić,Washington Mystics,,,1,289133.0,drafted_no_signing_in_current_feed,,The Washington Mystics drafted Angela Dugalić in the 1st round (9th pick) of the 2026 WNBA Draft.
10,Indiana Fever,draft:raven_johnson,Raven Johnson,Indiana Fever,,,1,289133.0,drafted_no_signing_in_current_feed,,The Indiana Fever drafted Raven Johnson in the 1st round (10th pick) of the 2026 WNBA Draft.
11,Washington Mystics,draft:cotie_mcmahon,Cotie McMahon,Washington Mystics,,,1,289133.0,drafted_no_signing_in_current_feed,,The Washington Mystics drafted Cotie McMahon in the 1st round (11th pick) of the 2026 WNBA Draft.
12,Connecticut Sun,draft:nell_angloma,Nell Angloma,Connecticut Sun,,,1,289133.0,drafted_no_signing_in_current_feed,,The Connecticut Sun drafted Nell Angloma in the 1st round (12th pick) of the 2026 WNBA Draft.
13,Atlanta Dream,draft:madina_okot,Madina Okot,Atlanta Dream,,,1,289133.0,drafted_no_signing_in_current_feed,,The Atlanta Dream drafted Madina Okot in the 1st round (13th pick) of the 2026 WNBA Draft.
14,Seattle Storm,draft:taina_mair,Taina Mair,Seattle Storm,,,1,289133.0,drafted_no_signing_in_current_feed,,The Seattle Storm drafted Taina Mair in the 1st round (14th pick) of the 2026 WNBA Draft.
15,Connecticut Sun,draft:gianna_kneepkens,Gianna Kneepkens,Connecticut Sun,,,1,289133.0,drafted_no_signing_in_current_feed,,The Connecticut Sun drafted Gianna Kneepkens in the 1st round (15th pick) of the 2026 WNBA Draft.
16,Seattle Storm,draft:marta_su_rez,Marta Suárez,Golden State Valkyries,,,1,270000.0,traded_in_feed_no_signing_found,,The Seattle Storm drafted Marta Suárez in the 2nd round (16th pick) of the 2026 WNBA Draft.
17,Portland Fire,draft:frieda_b_hner,Frieda Bühner,Portland Fire,,,1,,drafted_no_signing_in_current_feed,,The Portland Fire drafted Frieda Bühner in the 2nd round (17th pick) of the 2026 WNBA Draft.
18,Connecticut Sun,draft:charlisse_leger-walker,Charlisse Leger-Walker,Connecticut Sun,,,1,270000.0,drafted_no_signing_in_current_feed,,The Connecticut Sun drafted Charlisse Leger-Walker in the 2nd round (18th pick) of the 2026 WNBA Draft.
19,Washington Mystics,draft:cassandre_prosper,Cassandre Prosper,Washington Mystics,,,1,270000.0,signed_in_feed_not_final_preseason,,The Washington Mystics drafted Cassandre Prosper in the 2nd round (19th pick) of the 2026 WNBA Draft.
20,Los Angeles Sparks,draft:ta_niya_latson,Ta'Niya Latson,Los Angeles Sparks,,,1,270000.0,drafted_no_signing_in_current_feed,,The Los Angeles Sparks drafted Ta'Niya Latson in the 2nd round (20th pick) of the 2026 WNBA Draft.
