team_name,team_abbr,rank,team_grade,hidden_value_count,roster_size,median_value_score,n_undervalued
Las Vegas Aces,LVA,1,A,0,13,46.24,4
New York Liberty,NYL,2,A,0,23,44.01,1
Phoenix Mercury,PHX,3,A,0,28,44.01,1
Minnesota Lynx,MIN,4,B,0,23,44.01,2
Washington Mystics,WAS,5,B,0,19,44.01,3
Connecticut Sun,CON,6,B,0,22,44.01,3
Chicago Sky,CHI,7,C,0,21,44.01,4
Atlanta Dream,ATL,8,C,0,20,44.01,2
Toronto Tempo,TOR,9,C,0,24,44.01,3
Dallas Wings,DAL,10,D,0,20,43.96,6
Los Angeles Sparks,LAS,11,D,0,14,43.74,1
Golden State Valkyries,GSV,12,D,0,18,43.58,5
Portland Fire,POR,13,F,0,18,43.26,5
Seattle Storm,SEA,14,F,0,19,43.16,5
Indiana Fever,IND,15,F,0,18,41.42,5
