team_name,team_abbr,rank,team_grade,median_value_score,cap_concentration_top2_pct,total_salary,scatter_quadrant
Las Vegas Aces,LVA,1,A,46.24,46.15,5612500.0,Star-Dependent
New York Liberty,NYL,2,A,44.01,43.84,5428510.0,Star-Dependent
Phoenix Mercury,PHX,3,A,44.01,49.6,4838600.0,Star-Dependent
Minnesota Lynx,MIN,4,B,44.01,42.02,6163323.0,Star-Dependent
Washington Mystics,WAS,5,B,44.01,50.09,3772900.0,Star-Dependent
Connecticut Sun,CON,6,B,44.01,45.94,4767448.0,Star-Dependent
Chicago Sky,CHI,7,C,44.01,31.66,6585832.0,Efficient Stars
Atlanta Dream,ATL,8,C,44.01,38.45,5955692.0,Efficient Stars
Toronto Tempo,TOR,9,C,44.01,45.9,5206957.0,Star-Dependent
Dallas Wings,DAL,10,D,43.96,35.73,6660213.0,Distributed Mediocrity
Los Angeles Sparks,LAS,11,D,43.74,37.97,5531350.0,Distributed Mediocrity
Golden State Valkyries,GSV,12,D,43.58,34.2,6183510.0,Distributed Mediocrity
Portland Fire,POR,13,F,43.26,39.66,4260909.0,Cap Trapped
Seattle Storm,SEA,14,F,43.16,38.59,5182707.0,Distributed Mediocrity
Indiana Fever,IND,15,F,41.42,37.33,6428846.0,Distributed Mediocrity
