season,team_id,team_name,team_abbr,roster_size,cap_sheet_roster_count,cap_sheet_total_players,median_value_score,mean_value_score,total_team_value,cap_concentration_top2_pct,total_salary,salary_cap,cap_space,cap_used_pct,hidden_value_count,n_undervalued,n_overvalued_adj,avg_salary_gap_pct,n_guards,n_forwards,n_centers,n_pos_unknown,n_elite_value,n_strong_value,n_fair_value,n_risk,n_overvalued_tier,top_player,top_player_value_score,raw_roster_grade_score,raw_roster_grade,raw_value_per_million,rank,team_grade,grade_color,scatter_quadrant
2026,1611661319,Las Vegas Aces,LVA,13,7.0,7.0,46.24,45.72,594.42,46.15,5612500.0,7000000.0,1387500.0,0.8017857142857143,0,4,9,0.0845,0,0,0,13,0,0,5,7,1,Jackie Young,54.89,50.55,D,105.91,1,A,#34d399,Star-Dependent
2026,1611661313,New York Liberty,NYL,23,7.0,7.0,44.01,45.97,1057.28,43.84,5428510.0,7000000.0,1571490.0,0.7755014285714286,0,1,18,-0.0328,0,0,0,23,0,0,6,17,0,Jonquel Jones,55.02,53.92,D,178.55,2,A,#34d399,Star-Dependent
2026,team:phoenix_mercury,Phoenix Mercury,PHX,28,7.0,7.0,44.01,45.16,1264.47,49.6,4838600.0,7000000.0,2161400.0,0.6912285714285714,0,1,25,-0.039,0,0,0,28,0,0,4,24,0,Kalani Brown,55.24,50.16,D,243.14,3,A,#34d399,Star-Dependent
2026,1611661324,Minnesota Lynx,MIN,23,9.0,9.0,44.01,44.46,1022.58,42.02,6163323.0,7000000.0,836677.0,0.8804747142857143,0,2,20,0.0069,0,0,0,23,0,0,3,20,0,Natasha Howard,52.21,44.02,F,158.77,4,B,#60a5fa,Star-Dependent
2026,1611661322,Washington Mystics,WAS,19,7.0,7.0,44.01,43.68,829.83,50.09,3772900.0,7000000.0,3227100.0,0.5389857142857143,0,3,17,0.0461,0,0,0,19,0,0,0,19,0,Kiki Iriafen,45.91,50.22,D,184.95,5,B,#60a5fa,Star-Dependent
2026,1611661323,Connecticut Sun,CON,22,8.0,8.0,44.01,43.65,960.28,45.94,4767448.0,7000000.0,2232552.0,0.681064,0,3,19,0.0241,0,0,0,22,0,0,0,22,0,Olivia Nelson-Ododa,49.56,54.91,D,201.42,6,B,#60a5fa,Star-Dependent
2026,1611661329,Chicago Sky,CHI,21,12.0,12.0,44.01,43.65,916.58,31.66,6585832.0,7000000.0,414168.0,0.9408331428571428,0,4,18,0.0599,0,0,0,21,0,0,0,21,0,Kamilla Cardoso,47.36,45.52,F,132.49,7,C,#fbbf24,Efficient Stars
2026,1611661330,Atlanta Dream,ATL,20,9.0,9.0,44.01,43.18,863.62,38.45,5955692.0,7000000.0,1044308.0,0.8508131428571428,0,2,16,0.0176,0,0,0,20,0,0,0,18,2,Angel Reese,48.29,46.14,F,137.62,8,C,#fbbf24,Efficient Stars
2026,team:toronto_tempo,Toronto Tempo,TOR,24,8.0,8.0,44.01,42.62,1022.81,45.9,5206957.0,7000000.0,1793043.0,0.743851,0,3,22,0.0325,0,0,0,24,0,0,0,24,0,Nyara Sabally,46.91,46.49,F,171.07,9,C,#fbbf24,Star-Dependent
2026,1611661321,Dallas Wings,DAL,20,11.0,11.0,43.96,42.55,851.05,35.73,6660213.0,7000000.0,339787.0,0.951459,0,6,16,0.092,0,0,0,20,0,0,0,18,2,Alysha Clark,49.58,46.35,F,127.78,10,D,#fb923c,Distributed Mediocrity
2026,1611661320,Los Angeles Sparks,LAS,14,7.0,7.0,43.74,43.86,614.03,37.97,5531350.0,7000000.0,1468650.0,0.7901928571428571,0,1,11,0.0104,0,0,0,14,0,0,1,13,0,Kelsey Plum,51.74,52.9,D,111.01,11,D,#fb923c,Distributed Mediocrity
2026,team:golden_state_valkyries,Golden State Valkyries,GSV,18,10.0,10.0,43.58,42.88,771.89,34.2,6183510.0,7000000.0,816490.0,0.8833585714285714,0,5,15,0.0672,0,0,0,18,0,0,1,17,0,Cecilia Zandalasini,50.7,48.56,F,117.71,12,D,#fb923c,Distributed Mediocrity
2026,team:portland_fire,Portland Fire,POR,18,10.0,10.0,43.26,42.04,756.78,39.66,4260909.0,7000000.0,2739091.0,0.6087012857142857,0,5,18,0.0989,0,0,0,18,0,0,0,18,0,Bridget Carleton,44.32,43.62,F,157.07,13,F,#f87171,Cap Trapped
2026,1611661328,Seattle Storm,SEA,19,9.0,9.0,43.16,41.77,793.69,38.59,5182707.0,7000000.0,1817293.0,0.7403867142857142,0,5,18,0.0841,0,0,0,19,0,0,1,16,2,Natisha Hiedeman,57.78,47.36,F,153.14,14,F,#f87171,Distributed Mediocrity
2026,1611661325,Indiana Fever,IND,18,10.0,10.0,41.42,41.56,748.07,37.33,6428846.0,7000000.0,571154.0,0.9184065714285714,0,5,14,0.1754,0,0,0,18,0,0,0,16,2,Aliyah Boston,48.5,46.06,F,109.52,15,F,#f87171,Distributed Mediocrity
