team_name,team_abbr,rank,team_grade,value_tier,tier_order,player_count,roster_size,pct_of_roster
Las Vegas Aces,LVA,1,A,Overvalued,1,1,13,0.0769
Las Vegas Aces,LVA,1,A,Risk,2,7,13,0.5385
Las Vegas Aces,LVA,1,A,Fair Value,3,5,13,0.3846
Las Vegas Aces,LVA,1,A,Strong Value,4,0,13,0.0
Las Vegas Aces,LVA,1,A,Elite Value,5,0,13,0.0
New York Liberty,NYL,2,A,Overvalued,1,0,23,0.0
New York Liberty,NYL,2,A,Risk,2,17,23,0.7391
New York Liberty,NYL,2,A,Fair Value,3,6,23,0.2609
New York Liberty,NYL,2,A,Strong Value,4,0,23,0.0
New York Liberty,NYL,2,A,Elite Value,5,0,23,0.0
Phoenix Mercury,PHX,3,A,Overvalued,1,0,28,0.0
Phoenix Mercury,PHX,3,A,Risk,2,24,28,0.8571
Phoenix Mercury,PHX,3,A,Fair Value,3,4,28,0.1429
Phoenix Mercury,PHX,3,A,Strong Value,4,0,28,0.0
Phoenix Mercury,PHX,3,A,Elite Value,5,0,28,0.0
Minnesota Lynx,MIN,4,B,Overvalued,1,0,23,0.0
Minnesota Lynx,MIN,4,B,Risk,2,20,23,0.8696
Minnesota Lynx,MIN,4,B,Fair Value,3,3,23,0.1304
Minnesota Lynx,MIN,4,B,Strong Value,4,0,23,0.0
Minnesota Lynx,MIN,4,B,Elite Value,5,0,23,0.0
Washington Mystics,WAS,5,B,Overvalued,1,0,19,0.0
Washington Mystics,WAS,5,B,Risk,2,19,19,1.0
Washington Mystics,WAS,5,B,Fair Value,3,0,19,0.0
Washington Mystics,WAS,5,B,Strong Value,4,0,19,0.0
Washington Mystics,WAS,5,B,Elite Value,5,0,19,0.0
Connecticut Sun,CON,6,B,Overvalued,1,0,22,0.0
Connecticut Sun,CON,6,B,Risk,2,22,22,1.0
Connecticut Sun,CON,6,B,Fair Value,3,0,22,0.0
Connecticut Sun,CON,6,B,Strong Value,4,0,22,0.0
Connecticut Sun,CON,6,B,Elite Value,5,0,22,0.0
Chicago Sky,CHI,7,C,Overvalued,1,0,21,0.0
Chicago Sky,CHI,7,C,Risk,2,21,21,1.0
Chicago Sky,CHI,7,C,Fair Value,3,0,21,0.0
Chicago Sky,CHI,7,C,Strong Value,4,0,21,0.0
Chicago Sky,CHI,7,C,Elite Value,5,0,21,0.0
Atlanta Dream,ATL,8,C,Overvalued,1,2,20,0.1
Atlanta Dream,ATL,8,C,Risk,2,18,20,0.9
Atlanta Dream,ATL,8,C,Fair Value,3,0,20,0.0
Atlanta Dream,ATL,8,C,Strong Value,4,0,20,0.0
Atlanta Dream,ATL,8,C,Elite Value,5,0,20,0.0
Toronto Tempo,TOR,9,C,Overvalued,1,0,24,0.0
Toronto Tempo,TOR,9,C,Risk,2,24,24,1.0
Toronto Tempo,TOR,9,C,Fair Value,3,0,24,0.0
Toronto Tempo,TOR,9,C,Strong Value,4,0,24,0.0
Toronto Tempo,TOR,9,C,Elite Value,5,0,24,0.0
Dallas Wings,DAL,10,D,Overvalued,1,2,20,0.1
Dallas Wings,DAL,10,D,Risk,2,18,20,0.9
Dallas Wings,DAL,10,D,Fair Value,3,0,20,0.0
Dallas Wings,DAL,10,D,Strong Value,4,0,20,0.0
Dallas Wings,DAL,10,D,Elite Value,5,0,20,0.0
Los Angeles Sparks,LAS,11,D,Overvalued,1,0,14,0.0
Los Angeles Sparks,LAS,11,D,Risk,2,13,14,0.9286
Los Angeles Sparks,LAS,11,D,Fair Value,3,1,14,0.0714
Los Angeles Sparks,LAS,11,D,Strong Value,4,0,14,0.0
Los Angeles Sparks,LAS,11,D,Elite Value,5,0,14,0.0
Golden State Valkyries,GSV,12,D,Overvalued,1,0,18,0.0
Golden State Valkyries,GSV,12,D,Risk,2,17,18,0.9444
Golden State Valkyries,GSV,12,D,Fair Value,3,1,18,0.0556
Golden State Valkyries,GSV,12,D,Strong Value,4,0,18,0.0
Golden State Valkyries,GSV,12,D,Elite Value,5,0,18,0.0
Portland Fire,POR,13,F,Overvalued,1,0,18,0.0
Portland Fire,POR,13,F,Risk,2,18,18,1.0
Portland Fire,POR,13,F,Fair Value,3,0,18,0.0
Portland Fire,POR,13,F,Strong Value,4,0,18,0.0
Portland Fire,POR,13,F,Elite Value,5,0,18,0.0
Seattle Storm,SEA,14,F,Overvalued,1,2,19,0.1053
Seattle Storm,SEA,14,F,Risk,2,16,19,0.8421
Seattle Storm,SEA,14,F,Fair Value,3,1,19,0.0526
Seattle Storm,SEA,14,F,Strong Value,4,0,19,0.0
Seattle Storm,SEA,14,F,Elite Value,5,0,19,0.0
Indiana Fever,IND,15,F,Overvalued,1,2,18,0.1111
Indiana Fever,IND,15,F,Risk,2,16,18,0.8889
Indiana Fever,IND,15,F,Fair Value,3,0,18,0.0
Indiana Fever,IND,15,F,Strong Value,4,0,18,0.0
Indiana Fever,IND,15,F,Elite Value,5,0,18,0.0
