season,team_id,team_name,team_abbreviation,roster_count,salary_cap,total_cap_hit,cap_space,cap_used_pct,avg_value_score,median_value_score,top_5_value_score_avg,undervalued_players,hidden_talent_players,overvalued_players,archetype_diversity,role_entropy,continuity_score,transaction_count,value_per_million,cap_efficiency_score,balance_score,continuity_score_rank,transaction_penalty,roster_grade_score,roster_grade
2026,1611661313,New York Liberty,NYL,22,7000000.0,5428510.0,1571490.0,0.7755014285714286,46.16,44.01,53.01,1,0,16,1,86.84,45.45,13,187.08,86.67,33.33,60.0,80.0,57.42,D
2026,1611661317,Phoenix Mercury,PHX,24,7000000.0,4838600.0,2161400.0,0.6912285714285714,45.37,44.01,51.6,1,0,21,1,70.39,37.5,26,225.05,100.0,13.33,43.33,13.33,52.53,D
2026,1611661319,Las Vegas Aces,LVA,13,7000000.0,5612500.0,1387500.0,0.8017857142857143,45.46,44.01,52.74,5,0,10,1,94.74,61.54,13,105.3,6.67,86.67,100.0,80.0,50.46,D
2026,1611661320,Los Angeles Sparks,LAS,15,7000000.0,5531350.0,1468650.0,0.7901928571428571,43.74,43.48,47.76,1,0,12,1,98.59,60.0,15,118.61,20.0,100.0,93.33,60.0,51.19,D
2026,1611661321,Dallas Wings,DAL,19,7000000.0,6660213.0,339787.0,0.951459,42.48,43.9,48.12,6,0,15,1,87.66,57.89,21,121.17,33.33,46.67,86.67,23.33,45.66,F
2026,1611661322,Washington Mystics,WAS,16,7000000.0,3772900.0,3227100.0,0.5389857142857143,43.54,44.01,44.78,3,0,14,1,70.05,37.5,16,184.64,80.0,6.67,43.33,50.0,47.7,F
2026,1611661323,Connecticut Sun,CON,22,7000000.0,4767448.0,2232552.0,0.681064,43.65,44.01,46.49,3,0,19,1,87.08,36.36,13,201.42,93.33,40.0,33.33,80.0,54.57,D
2026,1611661324,Minnesota Lynx,MIN,21,7000000.0,6163323.0,836677.0,0.8804747142857143,44.49,44.01,49.78,2,0,18,1,72.55,23.81,14,151.6,53.33,20.0,20.0,66.67,43.53,F
2026,1611661325,Indiana Fever,IND,17,7000000.0,6428846.0,571154.0,0.9184065714285714,41.34,41.12,46.17,5,0,13,1,94.3,52.94,11,109.3,13.33,80.0,80.0,93.33,47.04,F
2026,1611661328,Seattle Storm,SEA,19,7000000.0,5182707.0,1817293.0,0.7403867142857142,41.95,43.16,47.02,4,0,18,1,88.14,42.11,18,153.79,60.0,53.33,53.33,33.33,48.42,F
2026,1611661329,Chicago Sky,CHI,18,7000000.0,6585832.0,414168.0,0.9408331428571428,43.69,44.01,46.27,3,0,15,1,92.06,33.33,17,119.41,26.67,66.67,26.67,40.0,41.21,F
2026,1611661330,Atlanta Dream,ATL,19,7000000.0,5955692.0,1044308.0,0.8508131428571428,43.14,44.01,46.87,2,0,15,1,84.84,47.37,16,137.62,40.0,26.67,66.67,50.0,44.31,F
2026,1611661331,Golden State Valkyries,GSV,20,7000000.0,6183510.0,816490.0,0.8833585714285714,43.0,44.01,47.84,5,0,17,1,93.55,50.0,21,139.07,46.67,73.33,73.33,23.33,49.78,F
2026,team:portland_fire,Portland Fire,POR,18,7000000.0,4260909.0,2739091.0,0.6087012857142857,41.77,43.26,44.12,5,0,18,1,90.08,0.0,28,176.46,73.33,60.0,10.0,6.67,45.44,F
2026,team:toronto_tempo,Toronto Tempo,TOR,20,7000000.0,5206957.0,1793043.0,0.743851,42.34,44.01,44.88,3,0,18,1,95.19,0.0,32,162.62,66.67,93.33,10.0,0.0,47.46,F
